year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,antonio banks,Virginia Tech,CB,70.0,203,4.66,18.0,36.0,117.0,4.41,7.85,Y
1997,ronde barber,Virginia,CB,69.4,185,4.68,14.0,34.5,118.0,4.46,7.22,Y
1997,michael booker,Nebraska,CB,73.3,203,,10.0,,,,,Y
1997,byron capers,Florida State,CB,73.0,202,4.66,14.0,31.0,116.0,4.44,7.51,Y
1997,kevin devine,California,CB,69.4,184,4.53,20.0,,,4.16,7.36,N
1997,van hiles,Kentucky,CB,71.1,186,4.78,10.0,35.0,116.0,4.26,7.24,Y
1997,ty howard,Ohio State,CB,69.5,186,,13.0,,,,,Y
1997,hudhaifa ismaeli,Northwestern,CB,71.0,191,4.57,,33.0,114.0,4.15,7.21,Y
1997,aj johnson,Maryland,CB,69.5,170,4.69,7.0,31.0,108.0,4.03,7.67,N
1997,tom knight,Iowa,CB,71.3,196,4.5,19.0,35.5,118.0,4.17,7.09,Y
1997,earl little,Miami (FL),CB,71.8,183,4.62,2.0,31.5,113.0,4.49,7.58,N
1997,sam madison,Louisville,CB,71.1,181,4.61,8.0,36.5,119.0,4.16,7.19,Y
1997,dexter mccleon,Clemson,CB,70.4,198,4.53,14.0,35.0,117.0,4.14,7.3,Y
1997,george mccullough,Baylor,CB,70.0,187,4.5,8.0,36.5,114.0,4.07,7.24,Y
1997,tim mctyer,Brigham Young,CB,71.0,181,4.58,7.0,31.0,108.0,4.35,7.49,N
1997,brian miller,Penn State,CB,69.4,191,,14.0,,,,,N
1997,delmonico montgomery,Houston,CB,71.5,189,4.61,,32.5,112.0,4.09,7.18,Y
1997,nathan perryman,Georgia Tech,CB,68.6,189,4.66,,30.5,113.0,4.15,7.27,N
1997,chad scott,Maryland,CB,73.1,203,,20.0,,,,,Y
1997,shawn springs,Ohio State,CB,71.9,197,,17.0,,,,,Y
1997,rod thomas,Southern Mississippi,CB,72.4,192,4.75,6.0,33.5,115.0,4.44,7.82,N
1997,denard walker,Louisiana State,CB,72.9,186,4.55,13.0,29.5,105.0,4.31,7.76,Y
