year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,defint,defyds,defavg,deftds,hasbling,allamerican,hasawards,drafted
1997,antonio banks,Virginia Tech,CB,70,203,4.66,18,36,117,4.41,7.85,8,150,18.8,1,0,0,0,Y
1997,ronde barber,Virginia,CB,69.4,185,4.68,14,34.5,118,4.46,7.22,15,112,7.5,0,0,0,0,Y
1997,michael booker,Nebraska,CB,73.3,203,,10,,,,,4,58,14.5,0,0,0,0,Y
1997,byron capers,Florida State,CB,73,202,4.66,14,31,116,4.44,7.51,2,10,5,0,0,0,0,Y
1997,kevin devine,California,CB,69.4,184,4.53,20,,,4.16,7.36,5,19,3.8,0,0,0,0,N
1997,van hiles,Kentucky,CB,71.1,186,4.78,10,35,116,4.26,7.24,8,81,10.1,1,0,0,0,Y
1997,ty howard,Ohio State,CB,69.5,186,,13,,,,,6,41,6.8,0,0,0,0,Y
1997,hudhaifa ismaeli,Northwestern,CB,71,191,4.57,,33,114,4.15,7.21,2,6,3,0,0,0,0,Y
1997,aj johnson,Maryland,CB,69.5,170,4.69,7,31,108,4.03,7.67,,,,,0,0,0,N
1997,tom knight,Iowa,CB,71.3,196,4.5,19,35.5,118,4.17,7.09,10,237,23.7,3,0,0,0,Y
1997,earl little,Miami (FL),CB,71.8,183,4.62,2,31.5,113,4.49,7.58,6,31,5.2,0,0,0,0,N
1997,sam madison,Louisville,CB,71.1,181,4.61,8,36.5,119,4.16,7.19,16,235,14.7,1,0,0,0,Y
1997,dexter mccleon,Clemson,CB,70.4,198,4.53,14,35,117,4.14,7.3,9,57,6.3,0,0,0,0,Y
1997,george mccullough,Baylor,CB,70,187,4.5,8,36.5,114,4.07,7.24,3,0,0,0,0,0,0,Y
1997,tim mctyer,Brigham Young,CB,71,181,4.58,7,31,108,4.35,7.49,7,125,17.9,1,0,0,0,N
1997,brian miller,Penn State,CB,69.4,191,,14,,,,,12,135,11.3,0,0,0,0,N
1997,delmonico montgomery,Houston,CB,71.5,189,4.61,,32.5,112,4.09,7.18,8,139,17.4,1,0,0,0,Y
1997,nathan perryman,Georgia Tech,CB,68.6,189,4.66,,30.5,113,4.15,7.27,,,,,0,0,0,N
1997,chad scott,Maryland,CB,73.1,203,,20,,,,,8,14,1.8,0,0,0,0,Y
1997,shawn springs,Ohio State,CB,71.9,197,,17,,,,,6,61,10.2,1,1,1,1,Y
1997,rod thomas,Southern Mississippi,CB,72.4,192,4.75,6,33.5,115,4.44,7.82,8,85,10.6,1,0,0,0,N
1997,denard walker,Louisiana State,CB,72.9,186,4.55,13,29.5,105,4.31,7.76,1,6,6,0,0,0,0,Y
1997,kenny wheaton,Oregon,CB,69.6,189,4.76,8,32,108,4.23,7.45,11,380,34.5,3,0,0,0,Y
