year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,hasbling,allamerican,hasawards,drafted
1997,duane ashman,Virginia,DE,75.5,274,5.03,19,32.5,110,4.83,8.8,0,0,0,Y
1997,bert berry,Notre Dame,DE,74.6,243,4.64,27,37.5,123,4.49,7.79,0,0,0,N
1997,peter boulware,Florida State,DE,76.1,254,4.76,,34,118,4.2,7.64,1,1,1,Y
1997,cornell brown,Virginia Tech,DE,73.1,244,5,19,32,115,4.33,7.81,1,1,1,Y
1997,william carr,Michigan,DT,72.1,302,5.41,19,25.5,83,5.14,8.42,0,0,0,Y
1997,stalin colinet,Boston College,DE,78.1,279,4.92,24,35.5,103,4.49,7.85,0,0,0,Y
1997,damion cooper,Central State (OH),DE,75.4,260,,25,29.5,112,,,0,0,0,N
1997,canute curtis,West Virginia,DE,74.1,260,4.89,,30,,,,1,1,1,Y
1997,mario daniel,Ohio,DT,73.8,324,5.4,24,24.5,101,4.81,8.22,0,0,0,N
1997,nathan davis,Indiana,DE,77.1,312,,27,,,,,0,0,0,Y
1997,terry day,Mississippi State,DE,76.4,266,4.77,17,32.5,115,4.7,8.08,0,0,0,Y
1997,bryan degraffenreid,Middle Tennessee State,DT,76.6,275,5.11,23,31.5,110,4.5,8.42,0,0,0,N
1997,myron elzy,Central State (OH),DT,76,312,5.18,24,27.5,103,4.61,8.3,0,0,0,N
1997,donnie embra,Baylor,DT,74.9,286,5.01,20,30.5,110,4.45,8.16,0,0,0,N
1997,bill ennisinge,Iowa,DE,76,260,5,26,32,,,,0,0,0,N
1997,jason ferguson,Georgia,DT,75.1,317,5.39,,27.5,,,,0,0,0,Y
1997,matt finkes,Ohio State,DE,74.9,272,4.94,15,28.5,99,4.29,7.66,0,0,0,Y
1997,jon harris,Virginia,DE,79.6,269,,19,35,114,,,0,0,0,Y
1997,kenny holmes,Miami (FL),DE,75.6,264,4.71,,33,,,,0,0,0,Y
1997,waverly jackson,Virginia Tech,DT,74.3,299,5.08,32,30.5,104,,,0,0,0,N
1997,edward jasper,Texas A&M,DT,74.9,295,5.34,,26,92,4.72,8.84,0,0,0,Y
