year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,ink aleaga,Washington,ILB,73.0,227,4.87,,31.0,107.0,4.33,7.6,N
1997,richard alvarado,Jackson State (MS),OLB,74.6,239,4.92,18.0,33.5,115.0,4.28,7.48,N
1997,derrick barnes,Oregon,OLB,72.9,261,4.92,15.0,33.0,109.0,4.42,7.88,N
1997,james bates,Florida,ILB,73.0,230,4.92,,32.5,115.0,4.29,7.67,N
1997,dexter coakley,Appalachian State (NC),OLB,69.6,215,4.52,21.0,38.0,125.0,4.21,7.48,Y
1997,lyron cobbins,Notre Dame,ILB,71.9,249,4.84,22.0,32.5,117.0,4.39,7.6,N
1997,vernon crawford,Florida State,OLB,75.5,249,4.94,,32.5,112.0,4.44,7.76,Y
1997,henri crockett,Florida State,ILB,74.1,249,,17.0,34.5,111.0,4.46,7.54,Y
1997,james darling,Washington State,ILB,72.5,247,,22.0,,,,,Y
1997,james farrior,Virginia,OLB,73.8,234,,22.0,35.5,120.0,4.4,7.62,Y
1997,john fiala,Washington,ILB,74.0,232,4.9,21.0,31.0,109.0,4.22,7.38,Y
1997,pat fitzgerald,Northwestern,ILB,74.0,235,,19.0,,,,,Y
1997,cory gilliard,Ball State (IN),OLB,72.4,218,4.55,16.0,,,,,Y
1997,james hamilton,North Carolina,OLB,76.9,236,4.84,,35.0,125.0,4.43,7.52,Y
1997,michael hamilton,North Carolina A&T,OLB,73.8,243,4.72,18.0,32.0,112.0,4.82,8.32,N
1997,jon hesse,Nebraska,ILB,75.9,249,4.94,13.0,35.0,112.0,4.64,7.74,Y
1997,anthony hicks,Middle Tennessee State,ILB,74.0,240,4.98,28.0,34.0,114.0,4.34,7.73,Y
1997,jarrett irons,Michigan,ILB,73.0,242,4.91,25.0,30.0,107.0,4.53,7.97,N
1997,greg jones,Colorado,OLB,76.1,241,4.82,19.0,38.0,129.0,4.19,7.48,Y
1997,sammy knight,Southern California,OLB,71.8,203,4.9,,31.5,108.0,4.31,7.25,N
1997,paul lacoste,Mississippi State,OLB,73.1,227,4.74,17.0,32.0,116.0,4.3,7.46,N
1997,tyrus mccloud,Louisville,ILB,73.6,251,5.02,35.0,,110.0,,,Y
1997,tony mccombs,Eastern Kentucky,ILB,74.1,240,4.75,20.0,34.0,,,,Y
1997,keith mitchell,Texas A&M,OLB,74.5,240,4.73,22.0,35.5,,,,N
1997,pete monty,Wisconsin,ILB,73.9,253,4.84,26.0,32.5,109.0,4.29,7.41,Y
1997,tyrell peters,Oklahoma,ILB,72.3,230,4.73,,30.5,111.0,4.23,7.51,N
