year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,winston alderson,Arkansas,OT,76.1,344,5.6,,24.5,92.0,5.25,8.85,N
1997,brad badger,Stanford,OG,76.4,296,5.22,21.0,32.5,111.0,4.13,,Y
1997,ben bordelon,Louisiana State,OT,77.1,298,5.42,22.0,28.0,104.0,4.73,8.25,N
1997,lamont burns,East Carolina (NC),OG,75.6,299,5.32,30.0,28.5,109.0,4.7,,Y
1997,calvin collins,Texas A&M,OG,73.6,307,5.19,22.0,28.0,102.0,4.61,,Y
1997,billy conaty,Virginia Tech,C,74.5,300,5.45,25.0,29.0,,,,N
1997,jerome daniels,Northeastern (MA),OT,77.1,356,5.63,25.0,27.5,,,,Y
1997,allen degraffenreid,Vanderbilt,OT,76.3,298,5.22,27.0,30.0,108.0,,,N
1997,damon denson,Michigan,OG,75.5,303,,18.0,,,,,Y
1997,chris dishman,Nebraska,OG,74.6,328,5.52,22.0,27.0,93.0,,,Y
1997,todd fordham,Florida State,OT,77.6,307,,25.0,,,,,N
1997,tarik glenn,California,OT,77.3,354,5.75,20.0,23.0,,,,Y
1997,jay hagood,Virginia Tech,OT,76.4,312,5.4,16.0,29.0,105.0,5.11,8.79,N
1997,kerry jenkins,Troy (AL),OT,77.6,296,5.39,15.0,24.5,102.0,4.92,8.32,N
1997,walter jones,Florida State,OT,76.9,301,5.09,,30.5,108.0,4.73,8.23,Y
1997,ben kaufman,Texas Tech,OG,76.1,289,5.6,13.0,23.0,99.0,,,N
1997,tim kohn,Iowa State,OT,77.3,313,5.31,25.0,32.0,111.0,4.37,7.9,Y
1997,adam meadows,Georgia,OT,76.9,297,5.04,,30.0,107.0,4.47,7.72,Y
1997,frank middleton,Arizona,OG,75.3,324,5.21,22.0,27.0,106.0,4.85,8.33,Y
1997,jeff mitchell,Florida,C,76.3,307,,33.0,,,,,Y
1997,larry moore,Brigham Young,OG,74.6,292,5.52,21.0,27.5,105.0,4.84,8.61,N
1997,jamie nails,Florida A&M,OT,78.1,387,5.77,37.0,21.5,93.0,5.4,9.18,Y
1997,dan neil,Texas,OG,74.4,291,,25.0,,,,,Y
1997,brian newnam,Tulsa (OK),OG,75.4,291,5.35,31.0,29.0,109.0,4.75,8.4,N
1997,daniel palmer,Air Force,C,76.3,290,5.05,21.0,33.5,127.0,4.62,8.2,Y
1997,nathan parks,Stanford,OG,77.4,307,5.44,,24.5,99.0,4.56,8.0,Y
1997,rod payne,Michigan,C,75.5,303,5.64,28.0,24.0,,,,Y
1997,harvey pennypacker,Syracuse,C,75.5,287,,26.0,,,,,N
1997,todd perkins,Texas A&M-Kingsville,OT,75.5,292,5.38,27.0,28.5,101.0,4.77,8.73,N
1997,juan porter,Ohio State,C,75.5,302,5.33,,26.5,88.0,4.74,8.63,N
1997,tony ramirez,Northern Colorado,OT,77.9,296,,29.0,,,,,Y
1997,scott rehberg,Central Michigan,OG,79.8,324,,26.0,,,,,Y
1997,juan roque,Arizona State,OT,80.0,333,5.57,30.0,22.5,126.0,5.07,8.71,Y
1997,raleigh roundtree,South Carolina State,OT,76.6,295,5.4,14.0,24.0,87.0,4.93,8.48,Y
1997,scott sanderson,Washington State,OT,78.1,290,5.29,18.0,25.5,92.0,4.87,7.97,Y
1997,bob sapp,Washington,OG,76.4,303,5.19,30.0,29.5,116.0,4.62,8.3,Y
1997,steve scifres,Wyoming,OG,75.9,294,5.45,33.0,30.0,105.0,4.53,7.95,Y
1997,brent smith,Mississippi State,OG,77.0,303,5.09,24.0,29.0,,,,Y
1997,marcus spriggs,Houston,OG,75.9,315,5.45,29.0,26.0,,,,Y
1997,todd stewart,California,OT,77.1,294,5.27,19.0,27.0,94.0,4.79,8.2,N
1997,daryl terrell,Southern Mississippi,OG,76.5,307,5.23,28.0,29.0,103.0,4.77,8.33,N
1997,adam treu,Nebraska,OT,77.4,302,5.24,17.0,28.0,90.0,4.63,8.06,Y
1997,scott whittaker,Kansas,OT,78.6,302,5.37,,26.0,106.0,4.41,7.91,N
1997,paul wiggins,Oregon,OT,75.3,303,,33.0,,,,,Y
1997,jerry wunsch,Wisconsin,OT,77.9,327,,25.0,,,,,Y
1997,donnie young,Florida,OG,75.8,315,5.36,,26.0,101.0,4.67,8.25,N
1998,jason andersen,Brigham Young,OT,77.6,314,5.35,21.0,29.5,102.0,4.5,8.42,Y
1998,jason baker,Montana,OT,78.1,337,5.79,19.0,22.5,88.0,5.13,9.04,N
1998,eric bateman,Brigham Young,OG,78.5,319,,20.0,,,,,Y
1998,matt birk,Harvard,OT,76.9,308,5.4,21.0,29.5,106.0,4.45,8.13,Y
1998,rob bohlinger,Wyoming,OT,79.9,300,5.16,21.0,31.0,109.0,4.55,8.17,N
1998,jim bundren,Clemson,OG,74.9,303,5.16,29.0,28.5,103.0,4.43,8.11,Y
1998,anthony clement,Southwestern Louisiana,OT,79.4,355,5.64,23.0,26.5,97.0,4.93,8.6,Y
1998,tavarr closs,Connecticut,OT,76.6,299,5.46,21.0,26.5,104.0,5.07,8.97,N
1998,devon coburn,Mississippi,OT,74.8,290,5.36,14.0,32.0,98.0,4.72,8.73,N
1998,mo collins,Florida,OT,76.3,337,5.47,30.0,31.5,99.0,4.93,8.88,Y
1998,matt cox,Brigham Young,OG,77.8,305,5.65,,25.0,96.0,4.65,8.49,N
1998,gennaro dinapoli,Virginia Tech,OG,74.8,301,5.27,21.0,33.0,107.0,4.48,8.24,Y
1998,brandon dyson,Utah State,C,75.6,283,5.25,17.0,25.5,101.0,4.59,8.32,N
1998,jason fabini,Cincinnati,OT,78.4,314,5.63,20.0,25.5,89.0,4.68,8.41,Y
1998,alan faneca,Louisiana State,OG,76.6,322,5.47,20.0,26.0,94.0,4.71,8.66,Y
1998,dan finn,Northern Arizona,OG,75.5,316,5.29,26.0,29.0,108.0,4.39,8.32,N
1998,mark fischer,Purdue,OG,75.6,293,5.23,23.0,25.5,100.0,4.43,7.88,Y
1998,lonnie gilbert,North Carolina State,OG,74.4,289,5.18,22.0,,,,,N
1998,darryl gilliam,Maryland,OT,77.0,327,5.48,,23.5,87.0,4.77,8.28,N
1998,mike goff,Iowa,OG,77.1,314,5.11,24.0,26.5,109.0,4.53,8.05,Y
1998,eric gohlstin,Ohio State,OT,75.5,337,,20.0,,,,,N
1998,bob hallen,Kent State (OH),OT,75.9,292,5.05,34.0,30.0,105.0,4.35,7.75,Y
1998,robert hicks,Mississippi State,OT,79.4,351,5.65,22.0,21.0,97.0,5.07,9.17,Y
1998,paul janus,Northwestern,OT,76.9,295,5.47,16.0,29.0,101.0,4.54,8.21,N
1998,doug karczewski,Virginia,OT,76.6,295,5.3,25.0,28.5,104.0,4.56,8.51,Y
1998,todd kollar,Youngstown State (OH),OT,75.6,294,5.21,17.0,31.0,108.0,4.55,8.12,N
1998,jay korth,Wyoming,C,75.1,294,5.32,25.0,29.5,104.0,4.8,8.21,N
1998,olin kreutz,Washington,C,74.1,300,5.32,30.0,28.0,100.0,4.55,8.1,Y
1998,kevin long,Florida State,C,77.3,296,5.33,21.0,31.5,103.0,4.52,8.14,Y
1998,jason mcendoo,Washington State,OG,76.3,310,5.52,25.0,24.5,99.0,4.8,8.42,Y
1998,steve mckinney,Texas A&M,OG,75.8,297,5.03,34.0,31.5,111.0,4.35,8.07,Y
1998,toby myles,Jackson State (MS),OT,76.6,313,5.32,17.0,29.5,109.0,4.84,8.64,Y
1998,jeremy newberry,California,C,76.9,314,5.44,27.0,27.5,99.0,4.77,8.34,Y
1998,benji olson,Washington,OG,76.1,324,5.27,21.0,27.5,95.0,4.78,8.52,Y
1998,phil ostrowski,Penn State,OG,76.4,282,5.44,15.0,26.0,96.0,4.7,8.07,Y
1998,jose portilla,Arizona,OT,78.0,325,,26.0,,,,,N
1998,phalen pounds,Southern California,OG,77.6,335,6.12,21.0,22.0,84.0,5.68,9.61,N
1998,victor riley,Auburn,OG,76.6,333,5.55,23.0,23.0,91.0,5.02,8.77,Y
1998,oliver ross,Iowa State,OT,76.4,301,5.21,24.0,26.5,97.0,4.59,8.15,Y
1998,glenn rountree,Clemson,OG,74.8,308,5.17,29.0,28.5,104.0,4.72,8.11,Y
1998,michael ruhl,Tulsa (OK),OT,78.1,308,5.46,15.0,27.5,90.0,4.69,8.24,N
1998,chris ruhman,Texas A&M,OT,77.3,313,5.43,13.0,25.5,91.0,4.63,8.33,Y
1998,ephraim salaam,San Diego State,OT,78.1,300,,18.0,28.0,,,,Y
1998,jeff saturday,North Carolina,C,74.4,292,5.24,25.0,25.0,100.0,4.85,8.52,N
1998,nathan strikwerda,Northwestern,C,76.1,296,5.24,27.0,26.0,97.0,4.52,8.03,Y
1998,aaron taylor,Nebraska,OG,73.0,320,5.32,23.0,29.0,99.0,4.56,8.08,Y
1998,melvin thomas,Colorado,OG,75.3,322,5.41,21.0,28.0,,,,Y
1998,tra thomas,Florida State,OT,79.8,349,,24.0,,,,,Y
1998,kyle turley,San Diego State,OT,76.9,309,4.95,26.0,32.0,112.0,4.43,7.75,Y
1998,lamont turner,Hampton (VA),OG,77.4,316,5.47,18.0,27.5,89.0,5.16,8.85,N
1998,robert wade,Marshall (WV),C,77.1,302,5.51,19.0,25.0,,,,N
1998,todd washington,Virginia Tech,OG,75.1,312,5.4,15.0,25.5,101.0,4.81,8.33,Y
1998,todd weiner,Kansas State,OT,76.4,297,5.07,27.0,33.5,108.0,4.53,8.15,Y
1998,sammy williams,Oklahoma,OT,76.5,318,5.5,16.0,25.5,98.0,5.16,9.28,Y
1999,ben adams,Texas,OG,76.9,324,5.36,26.0,25.5,97.0,4.83,7.86,N
1999,phillip armour,North Texas,C,75.0,318,5.56,23.0,30.5,95.0,4.59,7.63,N
1999,octavious bishop,Texas,OT,76.4,354,5.84,22.0,,,,,N
1999,wilbert brown,Houston,OG,74.1,311,5.52,22.0,26.0,98.0,5.02,8.46,N
1999,doug brzezinski,Boston College,OG,75.9,309,5.32,26.0,26.0,98.0,4.53,,Y
1999,brandon bulsworth,Arkansas,OG,76.0,308,5.01,24.0,31.5,111.0,4.43,7.43,N
1999,justin burroughs,North Carolina State,C,76.0,288,4.86,23.0,33.0,114.0,4.23,7.36,N
1999,anthony cesario,Colorado State,OG,77.5,312,5.3,,26.5,102.0,,,Y
1999,tony coats,Washington,OG,78.5,312,5.36,21.0,30.0,101.0,4.54,7.79,Y
1999,dan collins,Boston College,OG,76.0,282,5.03,20.0,24.0,100.0,,,N
1999,kris comstock,Kentucky,OT,79.9,319,5.54,17.0,23.5,97.0,4.84,8.19,N
1999,mondell corbett,East Carolina (NC),OG,74.1,313,5.38,21.0,29.0,98.0,4.77,8.03,N
1999,demarcus curry,Auburn,OT,77.0,317,5.35,20.0,25.5,98.0,4.69,7.98,N
1999,aaron dalan,Washington,OT,80.0,328,5.24,23.0,23.5,99.0,4.61,8.03,N
1999,eric de groh,West Virginia,C,76.0,324,5.53,23.0,28.0,102.0,4.56,7.79,N
1999,dan dercher,Kansas,OT,77.6,293,5.26,14.0,28.0,108.0,4.49,7.78,N
1999,kris farris,UCLA,OT,79.9,313,5.07,20.0,24.0,95.0,4.76,8.0,Y
1999,derrick fletcher,Baylor,OT,78.3,374,5.14,27.0,,,,,Y
1999,lennie friedman,Duke,OG,75.1,301,5.36,25.0,29.0,96.0,4.51,8.04,Y
1999,todd frohbieter,Arkansas State,OT,78.0,323,5.28,20.0,27.0,100.0,4.51,7.98,N
1999,jason gamble,Clemson,C,74.0,302,5.18,24.0,28.5,105.0,4.54,7.84,N
1999,kelvin garmon,Baylor,OG,74.4,329,5.09,23.0,25.0,96.0,4.66,7.84,Y
1999,aaron gibson,Wisconsin,OT,78.1,386,5.35,31.0,24.0,111.0,4.54,7.99,Y
1999,justin glasgow,Kansas,OG,77.0,328,5.35,35.0,24.0,95.0,4.59,7.98,N
1999,cornell green,Central Florida,OT,78.6,325,5.56,18.0,23.0,91.0,4.8,8.43,N
1999,tyrone hopson,Eastern Kentucky,OG,75.0,319,5.21,20.0,26.0,102.0,4.62,7.86,Y
1999,corey hulsey,Clemson,OG,76.9,367,5.72,31.0,25.0,95.0,4.89,8.21,N
1999,jay humphrey,Texas,OT,78.4,322,5.38,28.0,31.0,100.0,4.62,7.78,Y
1999,robert hunt,Virginia,OG,75.0,291,5.17,23.0,24.0,94.0,4.66,7.93,Y
1999,jon jansen,Michigan,OT,78.4,305,5.3,22.0,27.0,100.0,4.61,7.62,Y
1999,willie jones,Grambling State (LA),OT,79.0,372,5.58,30.0,26.0,102.0,4.78,8.01,N
1999,scott kiernan,Syracuse,OG,75.0,307,5.58,,28.0,94.0,4.79,8.09,N
1999,eric king,Richmond (VA),OG,76.6,290,5.06,25.0,27.0,104.0,4.36,7.46,Y
1999,josh kobdish,Frenso State (CA),OT,78.1,301,5.43,21.0,24.0,98.0,4.83,7.98,N
1999,dan lauta,Buffalo,OT,76.0,301,5.15,26.0,26.0,101.0,4.54,7.79,N
1999,david loverne,San Jose State,OG,74.8,292,5.19,23.0,25.0,96.0,4.43,7.49,Y
1999,todd mcclure,Louisiana State,C,73.4,298,5.25,29.0,28.0,93.0,4.51,7.81,Y
1999,jason mills,Tulsa (OK),OG,77.1,315,5.43,30.0,24.0,104.0,4.64,7.87,N
1999,ulysses moore,Liberty (VA),OG,74.0,313,5.45,24.0,26.0,103.0,4.67,7.98,N
1999,jeremy morgan,Southern Methodist (TX),OG,76.0,296,5.29,,23.5,92.0,4.62,7.77,N
1999,edwin mulitalo,Arizona,OT,75.1,328,5.47,28.0,23.5,92.0,4.77,8.02,Y
1999,jamar nesbit,South Carolina,C,76.3,336,5.7,23.0,26.5,86.0,4.91,8.0,N
1999,mike newell,Colorado State,C,76.0,292,5.25,25.0,28.5,104.0,4.69,7.88,N
1999,ben nichols,Colorado,OG,77.1,307,5.24,29.0,30.0,99.0,4.67,8.22,N
1999,rick nord,Louisville,OG,78.0,306,5.3,21.0,25.5,98.0,4.73,8.01,N
1999,jeremy offutt,Oklahoma State,C,77.0,310,5.17,20.0,26.0,100.0,4.77,7.98,N
1999,craig page,Georgia Tech,C,75.0,295,5.13,38.0,32.0,117.0,4.51,7.43,N
1999,solomon page,West Virginia,OT,76.4,306,5.23,24.0,31.5,104.0,,,Y
1999,luke petitgout,Notre Dame,OT,77.9,315,5.23,33.0,29.0,100.0,4.48,7.53,Y
1999,zach piller,Florida,OT,76.5,331,5.19,40.0,26.5,100.0,4.68,8.12,Y
1999,brian pukenas,West Virginia,OG,75.5,303,5.37,25.0,26.5,93.0,4.73,8.09,N
1999,ian rafferty,North Carolina State,OT,76.5,296,5.51,25.0,23.5,93.0,4.86,7.94,N
1999,jarvis reado,Tennessee,OT,77.0,328,5.4,,26.0,100.0,,,N
1999,cleve roberts,Troy (AL),OT,78.0,290,5.37,16.0,23.5,94.0,4.86,8.34,N
1999,derek rose,Iowa,C,75.0,283,5.22,21.0,25.5,96.0,4.9,8.24,N
1999,marek rubin,Yale,OT,78.0,310,5.36,26.0,25.0,96.0,4.76,8.19,N
1999,grey ruegamer,Arizona State,C,76.4,315,5.36,18.0,27.5,94.0,4.68,8.22,Y
1999,tom schau,Illinois,C,77.0,302,5.33,24.0,28.0,109.0,4.53,7.5,N
1999,yusef scott,Arizona,OG,74.3,324,5.75,,24.0,82.0,,,N
