year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2012,bryan anger,California,P,75.63,208,4.86,,,,,,Y
2013,dylan breeding,Arkansas,P,73.25,213,4.74,11.0,29.0,110.0,,,N
2013,josh hubner,Arizona State,P,75.63,232,5.06,13.0,,,,,N
2014,cody mandell,Alabama,P,74.5,216,4.89,,27.0,,,,N
2014,pat odonnell,Miami (FL),P,76.0,220,4.64,23.0,30.5,,,,Y
2015,kyle christy,Florida,P,74.25,202,4.93,,,,,,N
2015,will johnson,Texas State,P,73.88,206,5.02,,,,,,N
2015,kyle loomis,Portland State (OR),P,73.63,221,5.08,,,,,,N
2015,trevor pardula,Kansas,P,76.38,227,5.12,,,,,,N
2015,bradley pinion,Clemson,P,77.0,229,5.18,,,,,,Y
2015,spencer roth,Baylor,P,76.0,227,5.06,,,,,,N
2017,cameron johnston,Ohio State,P,71.25,194,4.92,,,,,,N
2017,austin rehkow,Idaho,P,74.63,214,,,,,4.47,,N
2017,justin vogel,Miami (FL),P,76.0,219,4.7,,34.0,,4.53,,N
2018,trevor daniel,Tennessee,P,73.0,230,4.98,23.0,32.5,119.0,,,N
2018,jk scott,Alabama,P,78.0,208,4.83,,30.5,114.0,4.41,7.28,Y
