year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2007,zac taylor,Nebraska,QB,74.38,216,5.08,,30.5,110,4.6,7.39,N
2010,zac robinson,Oklahoma State,QB,74.5,214,4.68,,35,110,4.4,7.24,Y
2013,zac dysert,Miami (OH),QB,75,227,4.81,,,,,,Y
1997,wally richardson,Penn State,QB,76.4,221,4.95,,31,109,4.47,7.97,Y
2006,vince young,Texas,QB,76.6,229,4.48,,,,,,Y
2016,vernon adams,Oregon,QB,70.88,200,4.83,,29.5,114,4.2,6.82,N
2011,tyrod taylor,Virginia Tech,QB,72.75,217,4.47,,37.5,126,4.09,6.78,Y
2013,tyler wilson,Arkansas,QB,74,215,4.95,,28.5,112,4.39,7.22,Y
2007,tyler palko,Pittsburgh,QB,73.38,215,4.88,,31.5,112,4.36,7.05,N
2012,tyler hansen,Colorado,QB,73,218,4.85,,,,,,N
2013,tyler bray,Tennessee,QB,78.13,232,5.05,,,100,4.51,7.2,N
2016,trevone boykin,Texas Christian,QB,72,212,4.77,,32,110,4.4,,N
2007,trent edwards,Stanford,QB,76.13,231,4.78,19,,,4.46,7.14,Y
2006,travis lulay,Montana State,QB,74.38,216,4.74,,35,111,4.07,6.93,N
2000,travis brown,Northern Arizona,QB,75.5,218,5.03,,29,101,4.87,7.54,N
2003,tony romo,Eastern Illinois,QB,74,230,5.01,,30,105,4.2,7.11,N
2010,tony pike,Cincinnati,QB,77.75,223,4.9,,28.5,108,4.53,7.06,Y
2014,tom savage,Pittsburgh,QB,75.88,228,4.97,,27,104,4.36,7.33,Y
2009,tom brandstater,Fresno State (CA),QB,77,220,4.87,,28.5,106,4.37,6.93,Y
2000,tom brady,Michigan,QB,76.4,211,5.3,,24.5,99,4.38,7.2,Y
2000,todd husak,Stanford,QB,75.1,216,5.22,,27.5,99,4.41,7.17,Y
1999,todd bandhauer,Iowa State,QB,75,236,5.26,,31,103,4.61,7.66,N
2007,toby korrodi,Central Missouri,QB,75.5,234,5.37,,25,91,4.64,7.77,N
2005,timmy chang,Hawaii,QB,73,211,5.1,,29,103,4.2,7.24,N
2010,tim tebow,Florida,QB,75,236,4.71,,38.5,115,4.17,6.66,Y
2000,tim rattay,Louisiana Tech,QB,72.5,215,4.93,,25.5,100,4.21,7.34,Y
2000,tim lester,Western Michigan,QB,72.4,202,5.05,,27,97,4.24,7.28,N
2010,tim hiller,Western Michigan,QB,76,229,4.97,18,32.5,118,4.54,7.1,N
2001,tim hasselbeck,Boston College,QB,73,211,4.83,,33,113,4.4,7.27,N
1999,tim couch,Kentucky,QB,76.1,225,5.08,,31,,4.34,,Y
2010,thaddeus lewis,Duke,QB,72.5,215,4.84,,28,107,,,N
1998,thad busby,Florida State,QB,74.1,223,4.97,,30.5,110,,,N
2000,tee martin,Tennessee,QB,73.6,227,4.61,,34.5,113,,,Y
2014,teddy bridgewater,Louisville,QB,74.13,214,,,30,112,4.2,7.17,Y
1999,ted white,Howard (DC),QB,74.4,226,5.14,,30.5,106,4.51,7.5,N
2011,taylor yates,North Carolina,QB,75,219,5.06,,29.5,104,4.12,6.96,N
2006,tarvaris jackson,Alabama State,QB,74,226,4.7,22,31.5,107,4.38,7.4,Y
2018,tanner lee,Nebraska,QB,76,218,4.98,,32,115,4.41,7,Y
2014,tajh boyd,Clemson,QB,72.63,222,4.84,,30.5,104,4.23,7.33,Y
1997,steve sarkisian,Brigham Young,QB,72.4,208,4.96,,30,104,4.51,8.16,N
2014,stephen morris,Miami (FL),QB,73.88,213,4.63,,30,111,4.49,7.36,N
2009,stephen mcgee,Texas A&M,QB,74.88,225,4.61,,33,112,4.49,7.34,Y
2005,stefan lefors,Louisville,QB,72.13,208,4.61,,31,111,4.09,7.03,Y
2000,spergon wynn,Texas State,QB,75.4,229,4.95,,34,108,4.59,7.71,Y
1999,shaun king,Tulane (LA),QB,72,221,4.77,,33,113,4.29,,Y
2001,shane griggs,Idaho State,QB,75.9,199,4.84,,,,,,N
1998,shane fortney,Northern Iowa,QB,73.6,225,4.72,,33.5,114,4.3,7.74,N
2015,shane carden,East Carolina (NC),QB,73.88,218,4.94,,29.5,104,4.45,7.17,N
2003,seneca wallace,Iowa State,QB,71.4,196,4.52,,38,127,4.14,6.97,Y
2017,sefo liufau,Colorado,QB,75.38,232,5.08,,27,105,4.45,7.32,N
