year,name,college,position,height_in,weight_lbs,40yards,vert_leap_in,broad_jump_in,shuttle,3cone,hasstats,cmp,att,pct,yds,td,int,rate,heisman,bling,awards,allamerican,drafted
2007,zac taylor,Nebraska,QB,74.38,216,5.08,30.5,110.0,4.6,7.39,,471.0,822.0,57.3,5853.0,45.0,20.0,130.3,0.0,1.0,1.0,0.0,N
2010,zac robinson,Oklahoma State,QB,74.5,214,4.68,35.0,110.0,4.4,7.24,,610.0,999.0,61.1,8317.0,66.0,31.0,146.6,0.0,0.0,0.0,0.0,Y
2013,zac dysert,Miami (OH),QB,75.0,227,4.81,,,,,,1066.0,1672.0,63.8,12013.0,73.0,51.0,132.4,0.0,0.0,0.0,0.0,Y
1997,wally richardson,Penn State,QB,76.4,221,4.95,31.0,109.0,4.47,7.97,,378.0,692.0,54.6,4419.0,27.0,14.0,117.1,0.0,0.0,0.0,0.0,Y
2006,vince young,Texas,QB,76.6,229,4.48,,,,,,444.0,718.0,61.8,6040.0,44.0,28.0,144.9,0.0,1.0,1.0,1.0,Y
2016,vernon adams,Oregon,QB,70.88,200,4.83,29.5,114.0,4.2,6.82,,168.0,259.0,64.9,2643.0,26.0,6.0,179.1,0.0,0.0,0.0,0.0,N
2011,tyrod taylor,Virginia Tech,QB,72.75,217,4.47,37.5,126.0,4.09,6.78,,495.0,865.0,57.2,7017.0,44.0,20.0,137.5,0.0,1.0,1.0,0.0,Y
2013,tyler wilson,Arkansas,QB,74.0,215,4.95,28.5,112.0,4.39,7.22,,593.0,948.0,62.6,7765.0,52.0,26.0,144.0,0.0,0.0,0.0,0.0,Y
2007,tyler palko,Pittsburgh,QB,73.38,215,4.88,31.5,112.0,4.36,7.05,,645.0,1075.0,60.0,8343.0,66.0,25.0,140.8,0.0,0.0,0.0,0.0,N
2012,tyler hansen,Colorado,QB,73.0,218,4.85,,,,,,506.0,872.0,58.0,5705.0,35.0,28.0,119.8,0.0,0.0,0.0,0.0,N
2013,tyler bray,Tennessee,QB,78.13,232,5.05,,100.0,4.51,7.2,,540.0,922.0,58.6,7444.0,69.0,28.0,145.0,0.0,0.0,0.0,0.0,N
2016,trevone boykin,Texas Christian,QB,72.0,212,4.77,32.0,110.0,4.4,,,829.0,1355.0,61.2,10727.0,86.0,37.0,143.2,0.0,1.0,1.0,0.0,N
2007,trent edwards,Stanford,QB,76.13,231,4.78,,,4.46,7.14,,487.0,865.0,56.3,5429.0,36.0,33.0,115.1,0.0,0.0,0.0,0.0,Y
2006,travis lulay,Montana State,QB,74.38,216,4.74,35.0,111.0,4.07,6.93,,,,,,,,,0.0,0.0,0.0,0.0,N
2000,travis brown,Northern Arizona,QB,75.5,218,5.03,29.0,101.0,4.87,7.54,,,,,,,,,0.0,0.0,0.0,0.0,N
