year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,rushatt,rushyds,rushypa,rushtds,hasbling,allamerican,hasawards,heisman,drafted
1997,james allen,Oklahoma,RB,70.1,212,,11,31,,,,539,2387,4.4,7,0,0,0,0,N
1997,darnell autry,Northwestern,RB,70.8,210,,,34,114,,,787,3793,4.8,35,0,0,0,0,Y
1997,tiki barber,Virginia,RB,69.4,203,4.56,15,35.5,120,4,7.18,651,3389,5.2,31,1,0,1,0,Y
1997,terry battle,Arizona State,RB,70.6,197,4.71,16,34.5,118,,,334,1796,5.4,21,0,0,0,0,Y
1997,calvin branch,Colorado State,RB,71.4,200,4.49,18,39,127,4.08,7.12,386,2106,5.5,24,0,0,0,0,Y
1997,rod brown,North Carolina State,FB,71.5,245,5.03,25,28,102,,,300,1423,4.7,11,0,0,0,0,Y
1997,kenney bynum,South Carolina State,RB,70.8,190,4.53,11,35.5,124,4.13,7.47,,,,,0,0,0,0,N
1997,kenyon cotton,Southwestern Louisiana,FB,72,254,4.89,15,31.5,101,4.33,7.86,559,2311,4.1,25,0,0,0,0,N
1997,troy davis,Iowa State,RB,67.9,181,4.56,16,34.5,118,4.27,7.35,782,4382,5.6,36,1,1,1,0,Y
1997,marc edwards,Notre Dame,FB,72,236,4.72,25,34,106,4.07,7.48,311,1591,5.1,27,0,0,0,0,Y
1997,spencer george,Rice (TX),RB,69,198,4.54,22,41.5,127,4.03,7.28,419,1790,4.3,15,0,0,0,0,N
1997,jay graham,Tennessee,RB,71.6,215,4.46,22,36,117,4.05,7.28,540,2609,4.8,25,0,0,0,0,Y
1997,byron hanspard,Texas Tech,RB,70.5,198,4.41,,,,,,732,4135,5.6,29,1,1,1,0,Y
1997,priest holmes,Texas,RB,68.9,213,4.73,18,33,115,4.14,7.4,252,1276,5.1,20,0,0,0,0,N
1997,leon johnson,North Carolina,RB,71.8,209,4.68,,34,118,4.31,7.82,797,3693,4.6,43,0,0,0,0,Y
1997,george jones,San Diego State,RB,68.6,204,4.58,,35,115,4.38,7.82,486,2810,5.8,34,1,0,1,0,Y
1997,randy kinder,Notre Dame,RB,72.9,207,4.46,,31,120,4.17,7.4,404,2295,5.7,18,0,0,0,0,N
1997,brian knuckles,Western Illinois,RB,70.3,206,4.65,3,34,113,4.3,7.64,,,,,0,0,0,0,N
1997,fred lane,Lane College (TN),RB,69.6,209,4.75,19,31,116,4.18,7.39,40,357,8.9,2,0,0,0,0,N
1997,steve lee,Indiana,FB,72.8,259,4.83,25,33.5,109,4.37,7.79,44,178,4,0,0,0,0,0,Y
1997,chad levitt,Cornell (NY),RB,73.1,233,4.61,19,34.5,122,4.19,7.41,,,,,0,0,0,0,Y
1997,shon mitchell,Texas,RB,70.4,194,4.62,,31,120,4.17,7.56,293,1725,5.9,14,0,0,0,0,N
1997,beau morgan,Air Force,RB,70.1,192,4.61,,36.5,125,3.97,7.16,594,3379,5.7,42,1,0,1,0,N
1997,ray nealy,Arkansas-Pine Bluff,RB,71.5,219,4.61,9,34.5,114,4.48,7.6,,,,,0,0,0,0,N
1997,sedrick shaw,Iowa,RB,72,214,4.62,,32,112,4.39,7.76,796,3908,4.9,31,0,0,0,0,Y
1997,alex smith,Indiana,RB,71.4,208,4.62,16,32,111,4.16,7.25,723,3492,4.8,21,0,0,0,0,N
1997,antowain smith,Houston,RB,74.4,224,4.48,15,36.5,117,,,354,1847,5.2,19,1,0,1,0,Y
1997,emory smith,Clemson,FB,71.9,251,4.92,20,34,107,4.73,8.01,358,1568,4.4,25,0,0,0,0,N
1997,jerald sowell,Tulane (LA),FB,72.4,246,4.77,17,32.5,110,4.52,7.54,473,1953,4.1,10,0,0,0,0,Y
1997,david thompson,Oklahoma State,RB,68.3,194,4.69,14,34.5,124,4.24,7.39,846,4318,5.1,27,0,0,0,0,N
1997,corey walker,Arizona State,RB,69.5,188,4.46,16,35.5,121,4.23,7.12,549,2340,4.3,20,0,0,0,0,N
1997,shawn walters,Southern California,RB,70.9,251,4.87,19,,,,,425,2019,4.8,22,0,0,0,0,N
1997,cj williams,Georgia Tech,RB,72.1,205,4.61,13,39,124,4.35,7.48,539,2365,4.4,20,0,0,0,0,N
1997,abu wilson,Utah State,RB,72.4,214,4.73,15,31.5,117,4.5,7.75,792,3933,5,40,0,0,0,0,N
1998,curtis alexander,Alabama,RB,71.6,204,4.44,13,37,117,,7.46,257,1119,4.4,9,0,0,0,0,Y
1998,john avery,Mississippi,RB,69.4,184,4.38,17,34.5,121,4.16,7.35,347,1650,4.8,12,0,0,0,0,Y
1998,tavian banks,Iowa,RB,69.6,198,4.48,15,39,125,3.95,7.34,465,2773,6,33,1,0,1,0,Y
1998,fred beasley,Auburn,FB,71.4,220,4.91,16,32,114,4.18,7.58,282,1241,4.4,18,0,0,0,0,Y
1998,michael black,Washington State,RB,70.8,196,,17,,,,,424,2129,5,19,0,0,0,0,N
1998,ernest blackwell,Missouri,FB,74.5,242,4.79,,35,117,,,192,1309,6.8,12,0,0,0,0,Y
1998,greg comella,Stanford,FB,72,232,4.63,23,31,115,4.22,7.81,141,498,3.5,12,0,0,0,0,N
1998,chris floyd,Michigan,FB,72.1,235,4.69,17,28,112,4.49,7.7,138,581,4.2,2,0,0,0,0,Y
1998,chris fuamatumaafala,Utah,RB,71.6,252,4.83,23,33,111,4.25,7.52,,,,,0,0,0,0,Y
1998,ahman green,Nebraska,RB,71.8,213,4.44,13,38.5,129,,,574,3880,6.8,42,0,0,0,0,Y
1998,scott harley,East Carolina (NC),RB,69.4,215,4.79,18,31.5,108,4.25,7.46,487,2465,5.1,15,0,0,0,0,N
1998,lendon henry,Colorado,RB,72,213,,15,36,119,,,225,1115,5,11,0,0,0,0,N
1998,skip hicks,UCLA,RB,71.8,230,,17,34.5,124,,,638,3140,4.9,48,0,0,0,0,Y
1998,robert holcombe,Illinois,RB,70.9,216,4.53,23,35,126,4.15,7.49,943,4105,4.4,25,0,0,0,0,Y
1998,chris howard,Michigan,RB,69.6,223,4.65,19,27,115,4.23,7.49,387,1779,4.6,17,0,0,0,0,Y
1998,juan johnson,Utah,RB,73.1,220,4.69,14,34.5,123,4.32,7.74,582,2601,4.5,22,0,0,0,0,N
1998,carlos king,North Carolina State,FB,72.4,230,,14,,,,,205,988,4.8,11,0,0,0,0,Y
1998,carlos knight,Jackson State (MS),FB,70.6,230,4.65,18,32,119,4.28,7.72,,,,,0,0,0,0,N
1998,jonathan linton,North Carolina,FB,72.6,248,4.84,,29.5,110,4.27,7.6,399,1573,3.9,14,0,0,0,0,Y
1998,michael martin,Arizona State,RB,72.4,215,,17,,,,,395,1905,4.8,11,0,0,0,0,N
1998,claude mathis,Texas State,RB,69.5,206,4.61,17,30,110,4.2,7.61,,,,,0,0,0,0,N
