year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,james allen,Oklahoma,RB,70.1,212,,11.0,31.0,,,,N
1997,darnell autry,Northwestern,RB,70.8,210,,,34.0,114.0,,,Y
1997,tiki barber,Virginia,RB,69.4,203,4.56,15.0,35.5,120.0,4.0,7.18,Y
1997,terry battle,Arizona State,RB,70.6,197,4.71,16.0,34.5,118.0,,,Y
1997,calvin branch,Colorado State,RB,71.4,200,4.49,18.0,39.0,127.0,4.08,7.12,Y
1997,rod brown,North Carolina State,FB,71.5,245,5.03,25.0,28.0,102.0,,,Y
1997,kenney bynum,South Carolina State,RB,70.8,190,4.53,11.0,35.5,124.0,4.13,7.47,N
1997,kenyon cotton,Southwestern Louisiana,FB,72.0,254,4.89,15.0,31.5,101.0,4.33,7.86,N
1997,troy davis,Iowa State,RB,67.9,181,4.56,16.0,34.5,118.0,4.27,7.35,Y
1997,marc edwards,Notre Dame,FB,72.0,236,4.72,25.0,34.0,106.0,4.07,7.48,Y
1997,spencer george,Rice (TX),RB,69.0,198,4.54,22.0,41.5,127.0,4.03,7.28,N
1997,jay graham,Tennessee,RB,71.6,215,4.46,22.0,36.0,117.0,4.05,7.28,Y
1997,byron hanspard,Texas Tech,RB,70.5,198,4.41,,,,,,Y
1997,priest holmes,Texas,RB,68.9,213,4.73,18.0,33.0,115.0,4.14,7.4,N
1997,leon johnson,North Carolina,RB,71.8,209,4.68,,34.0,118.0,4.31,7.82,Y
1997,george jones,San Diego State,RB,68.6,204,4.58,,35.0,115.0,4.38,7.82,Y
1997,randy kinder,Notre Dame,RB,72.9,207,4.46,,31.0,120.0,4.17,7.4,N
1997,brian knuckles,Western Illinois,RB,70.3,206,4.65,3.0,34.0,113.0,4.3,7.64,N
1997,fred lane,Lane College (TN),RB,69.6,209,4.75,19.0,31.0,116.0,4.18,7.39,N
1997,steve lee,Indiana,FB,72.8,259,4.83,25.0,33.5,109.0,4.37,7.79,Y
1997,chad levitt,Cornell (NY),RB,73.1,233,4.61,19.0,34.5,122.0,4.19,7.41,Y
1997,shon mitchell,Texas,RB,70.4,194,4.62,,31.0,120.0,4.17,7.56,N
1997,beau morgan,Air Force,RB,70.1,192,4.61,,36.5,125.0,3.97,7.16,N
1997,ray nealy,Arkansas-Pine Bluff,RB,71.5,219,4.61,9.0,34.5,114.0,4.48,7.6,N
1997,sedrick shaw,Iowa,RB,72.0,214,4.62,,32.0,112.0,4.39,7.76,Y
1997,alex smith,Indiana,RB,71.4,208,4.62,16.0,32.0,111.0,4.16,7.25,N
1997,antowain smith,Houston,RB,74.4,224,4.48,15.0,36.5,117.0,,,Y
1997,emory smith,Clemson,FB,71.9,251,4.92,20.0,34.0,107.0,4.73,8.01,N
1997,jerald sowell,Tulane (LA),FB,72.4,246,4.77,17.0,32.5,110.0,4.52,7.54,Y
1997,david thompson,Oklahoma State,RB,68.3,194,4.69,14.0,34.5,124.0,4.24,7.39,N
1997,corey walker,Arizona State,RB,69.5,188,4.46,16.0,35.5,121.0,4.23,7.12,N
1997,shawn walters,Southern California,RB,70.9,251,4.87,19.0,,,,,N
1997,cj williams,Georgia Tech,RB,72.1,205,4.61,13.0,39.0,124.0,4.35,7.48,N
1997,abu wilson,Utah State,RB,72.4,214,4.73,15.0,31.5,117.0,4.5,7.75,N
1998,curtis alexander,Alabama,RB,71.6,204,4.44,13.0,37.0,117.0,,7.46,Y
1998,john avery,Mississippi,RB,69.4,184,4.38,17.0,34.5,121.0,4.16,7.35,Y
1998,tavian banks,Iowa,RB,69.6,198,4.48,15.0,39.0,125.0,3.95,7.34,Y
1998,fred beasley,Auburn,FB,71.4,220,4.91,16.0,32.0,114.0,4.18,7.58,Y
1998,michael black,Washington State,RB,70.8,196,,17.0,,,,,N
1998,ernest blackwell,Missouri,FB,74.5,242,4.79,,35.0,117.0,,,Y
1998,greg comella,Stanford,FB,72.0,232,4.63,23.0,31.0,115.0,4.22,7.81,N
1998,chris floyd,Michigan,FB,72.1,235,4.69,17.0,28.0,112.0,4.49,7.7,Y
1998,chris fuamatumaafala,Utah,RB,71.6,252,4.83,23.0,33.0,111.0,4.25,7.52,Y
1998,ahman green,Nebraska,RB,71.8,213,4.44,13.0,38.5,129.0,,,Y
1998,scott harley,East Carolina (NC),RB,69.4,215,4.79,18.0,31.5,108.0,4.25,7.46,N
1998,lendon henry,Colorado,RB,72.0,213,,15.0,36.0,119.0,,,N
1998,skip hicks,UCLA,RB,71.8,230,,17.0,34.5,124.0,,,Y
1998,robert holcombe,Illinois,RB,70.9,216,4.53,23.0,35.0,126.0,4.15,7.49,Y
1998,chris howard,Michigan,RB,69.6,223,4.65,19.0,27.0,115.0,4.23,7.49,Y
1998,juan johnson,Utah,RB,73.1,220,4.69,14.0,34.5,123.0,4.32,7.74,N
1998,carlos king,North Carolina State,FB,72.4,230,,14.0,,,,,Y
1998,carlos knight,Jackson State (MS),FB,70.6,230,4.65,18.0,32.0,119.0,4.28,7.72,N
1998,jonathan linton,North Carolina,FB,72.6,248,4.84,,29.5,110.0,4.27,7.6,Y
1998,michael martin,Arizona State,RB,72.4,215,,17.0,,,,,N
1998,claude mathis,Texas State,RB,69.5,206,4.61,17.0,30.0,110.0,4.2,7.61,N
1998,brian mckenzie,Brigham Young,RB,69.8,210,4.43,20.0,36.5,127.0,4.29,8.18,N
1998,brock olivo,Missouri,RB,72.1,217,4.82,24.0,30.5,109.0,4.0,7.46,N
1998,ken oxendine,Virginia Tech,RB,72.3,228,4.75,19.0,35.0,119.0,3.98,7.88,Y
1998,marcus parker,Virginia Tech,RB,69.1,244,4.69,18.0,36.0,111.0,4.36,7.97,Y
1998,pepe pearson,Ohio State,RB,70.4,206,4.54,15.0,34.5,112.0,4.36,7.3,N
1998,wilmont perry,Livingstone (NC),RB,73.6,235,4.74,16.0,33.0,108.0,4.56,7.75,Y
1998,michael pittman,Frenso State (CA),RB,71.5,214,4.5,22.0,35.0,120.0,4.37,7.54,Y
1998,rock preston,Florida State,RB,67.9,183,4.62,9.0,33.5,118.0,4.17,7.54,N
1998,raymond priester,Clemson,FB,72.6,240,,15.0,,,,,Y
1998,andre richardson,Oklahoma State,RB,67.1,184,4.53,18.0,33.0,115.0,4.33,7.4,N
1998,dennis riddle,Alabama,RB,70.1,205,4.66,,33.5,121.0,4.17,7.7,N
1998,jon ritchie,Stanford,FB,73.8,248,4.66,,31.0,115.0,4.09,7.32,Y
1998,harold shaw,Southern Mississippi,RB,72.0,230,4.62,18.0,28.5,105.0,4.43,7.63,Y
1998,rashaan shehee,Washington,RB,70.3,204,,22.0,,,,,Y
