year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,john allred,Southern California,TE,76.4,244,5.01,15.0,32.0,112.0,4.32,7.45,Y
1997,pete chryplewicz,Notre Dame,TE,76.6,253,4.88,,30.5,111.0,4.32,7.48,Y
1997,greg clark,Stanford,TE,76.4,262,4.99,30.0,31.0,115.0,4.12,7.51,Y
1997,pat fitzgerald,Texas,TE,74.1,237,5.0,19.0,29.5,107.0,4.25,7.58,Y
1997,tony gonzalez,California,TE,76.1,244,4.83,,33.5,116.0,4.06,7.75,Y
1997,patrick hape,Alabama,TE,75.9,253,4.97,,33.0,112.0,4.15,7.71,Y
1997,mitch jacoby,Northern Illinois,TE,76.5,247,4.96,21.0,32.5,112.0,4.5,7.81,N
1997,bryan jennings,Virginia Tech,TE,75.8,258,4.91,18.0,29.5,107.0,4.54,7.89,N
1997,damon jones,Southern Illinois,TE,77.6,287,4.86,19.0,33.5,116.0,4.44,7.68,Y
1997,david lafleur,Louisiana State,TE,79.1,280,4.84,17.0,30.5,112.0,,,Y
1997,ronald leshinski,Army,TE,74.3,246,4.87,14.0,31.5,108.0,4.29,7.51,N
1997,chad lewis,Brigham Young,TE,77.4,248,4.88,15.0,31.0,119.0,4.47,7.76,N
1997,kris mangum,Mississippi,TE,76.5,249,4.92,27.0,32.0,112.0,4.29,7.63,Y
1997,itula mili,Brigham Young,TE,75.9,262,,16.0,,,,,Y
1997,ed perry,James Madison (VA),TE,76.4,246,4.84,,33.5,118.0,4.07,7.27,Y
1997,o j santiago,Kent State (OH),TE,78.9,267,4.72,22.0,38.5,125.0,4.38,7.55,N
1997,nicky savoie,Louisiana State,TE,77.8,253,4.95,,29.5,112.0,4.1,7.54,Y
1997,josh wilcox,Oregon,TE,74.6,256,4.99,14.0,30.5,108.0,4.54,7.6,N
1998,stephen alexander,Oklahoma,TE,76.4,246,4.65,18.0,35.5,122.0,4.09,7.48,Y
1998,jon blackman,Purdue,TE,78.1,271,5.07,,30.5,112.0,4.39,7.62,N
1998,josh bradley,Louisiana Tech,TE,78.8,270,5.16,13.0,26.5,94.0,4.45,8.06,N
1998,jeremy brigham,Washington,TE,76.1,249,4.68,22.0,30.5,109.0,4.25,7.71,Y
1998,mike brown,Texas Christian,TE,75.9,252,4.97,,29.0,111.0,4.32,8.16,N
1998,cameron cleeland,Washington,TE,76.4,272,4.83,28.0,33.5,107.0,4.15,7.42,Y
1998,chris conrad,Frenso State (CA),TE,78.8,301,5.26,19.0,24.5,92.0,4.71,8.02,Y
1998,chris fontenot,McNeese State (LA),TE,75.1,236,4.79,19.0,36.0,123.0,4.56,7.92,N
1998,lamont hall,Clemson,TE,75.3,256,5.06,23.0,28.5,111.0,4.46,8.36,N
1998,josh keur,Michigan State,TE,75.9,284,,25.0,,,,,N
1998,rodrick rutledge,Alabama,TE,76.9,272,4.99,20.0,,,,,N
1998,blake spence,Oregon,TE,75.5,249,4.89,17.0,28.0,106.0,4.35,7.42,Y
1998,mark thomas,North Carolina State,TE,76.3,253,4.91,18.0,34.0,109.0,4.47,8.07,N
1998,roland williams,Syracuse,TE,76.9,263,4.94,18.0,36.5,120.0,4.21,7.71,Y
1999,cuncho brown,Penn State,TE,76.0,272,4.78,,31.5,110.0,4.44,7.51,N
1999,larry brown,Georgia,TE,76.9,278,4.94,20.0,34.0,113.0,4.5,7.35,N
1999,dan campbell,Texas A&M,TE,77.3,263,4.86,25.0,36.0,112.0,4.07,7.0,Y
1999,desmond clark,Wake Forest,TE,74.9,255,4.88,12.0,31.0,112.0,4.35,7.3,Y
