year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,allamerican,hasawards,hasbling,scrimyds,scrimplays,scrimypa,scrimtds,drafted
1997,john allred,Southern California,TE,76.4,244,5.01,15,32,112,4.32,7.45,0,0,0,589,54,10.9,3,Y
1997,pete chryplewicz,Notre Dame,TE,76.6,253,4.88,,30.5,111,4.32,7.48,0,0,0,585,48,12.2,5,Y
1997,greg clark,Stanford,TE,76.4,262,4.99,30,31,115,4.12,7.51,0,0,0,492,43,11.4,3,Y
1997,pat fitzgerald,Texas,TE,74.1,237,5,19,29.5,107,4.25,7.58,0,0,0,1109,80,13.9,12,Y
1997,tony gonzalez,California,TE,76.1,244,4.83,,33.5,116,4.06,7.75,1,1,1,1302,89,14.6,8,Y
1997,patrick hape,Alabama,TE,75.9,253,4.97,,33,112,4.15,7.71,0,0,0,346,31,11.2,1,Y
1997,mitch jacoby,Northern Illinois,TE,76.5,247,4.96,21,32.5,112,4.5,7.81,0,0,0,591,50,11.8,4,N
1997,bryan jennings,Virginia Tech,TE,75.8,258,4.91,18,29.5,107,4.54,7.89,0,0,0,462,35,13.2,4,N
1997,damon jones,Southern Illinois,TE,77.6,287,4.86,19,33.5,116,4.44,7.68,0,0,0,93,7,13.3,0,Y
1997,david lafleur,Louisiana State,TE,79.1,280,4.84,17,30.5,112,,,0,0,0,881,71,12.4,5,Y
1997,ronald leshinski,Army,TE,74.3,246,4.87,14,31.5,108,4.29,7.51,0,0,0,,,,,N
1997,chad lewis,Brigham Young,TE,77.4,248,4.88,15,31,119,4.47,7.76,0,0,0,1369,112,12.2,10,N
1997,kris mangum,Mississippi,TE,76.5,249,4.92,27,32,112,4.29,7.63,0,0,0,729,74,9.9,4,Y
1997,itula mili,Brigham Young,TE,75.9,262,,16,,,,,0,0,0,1813,138,13.1,11,Y
1997,ed perry,James Madison (VA),TE,76.4,246,4.84,,33.5,118,4.07,7.27,0,0,0,19,28,0.7,0,Y
1997,o j santiago,Kent State (OH),TE,78.9,267,4.72,22,38.5,125,4.38,7.55,0,0,0,730,62,11.8,4,N
1997,nicky savoie,Louisiana State,TE,77.8,253,4.95,,29.5,112,4.1,7.54,0,0,0,270,22,12.3,3,Y
1997,josh wilcox,Oregon,TE,74.6,256,4.99,14,30.5,108,4.54,7.6,0,0,0,1416,103,13.7,15,N
1998,stephen alexander,Oklahoma,TE,76.4,246,4.65,18,35.5,122,4.09,7.48,0,0,0,1591,104,15.3,6,Y
1998,jon blackman,Purdue,TE,78.1,271,5.07,,30.5,112,4.39,7.62,0,0,0,406,33,12.3,0,N
1998,josh bradley,Louisiana Tech,TE,78.8,270,5.16,13,26.5,94,4.45,8.06,0,0,0,1591,131,12.1,20,N
1998,jeremy brigham,Washington,TE,76.1,249,4.68,22,30.5,109,4.25,7.71,0,0,0,39,8,4.9,1,Y
1998,mike brown,Texas Christian,TE,75.9,252,4.97,,29,111,4.32,8.16,0,0,0,347,30,11.6,3,N
1998,cameron cleeland,Washington,TE,76.4,272,4.83,28,33.5,107,4.15,7.42,0,0,0,776,50,15.5,6,Y
1998,chris conrad,Frenso State (CA),TE,78.8,301,5.26,19,24.5,92,4.71,8.02,0,0,0,-6,1,-6,0,Y
1998,chris fontenot,McNeese State (LA),TE,75.1,236,4.79,19,36,123,4.56,7.92,0,0,0,,,,,N
1998,lamont hall,Clemson,TE,75.3,256,5.06,23,28.5,111,4.46,8.36,0,0,0,288,31,9.3,0,N
1998,josh keur,Michigan State,TE,75.9,284,,25,,,,,0,0,0,623,63,9.9,3,N
1998,rodrick rutledge,Alabama,TE,76.9,272,4.99,20,,,,,0,0,0,,,,,N
