year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
2008,brandon breazell,UCLA,WR,71.63,160,4.47,,30.5,115,,6.97,N
1997,brian roberson,Fresno State (CA),WR,68.8,161,4.65,,30.5,115,4.14,7.36,N
1998,tutu atwell,Minnesota,WR,68.1,164,4.51,,32.5,117,4.22,7.34,N
1999,siaha burley,Central Florida,WR,71,166,4.53,,34,113,4.16,,N
1997,pearce pegross,Baylor,WR,69.4,170,4.63,,31.5,116,4.29,7.34,N
2002,kelly campbell,Georgia Tech,WR,70.1,171,4.52,,,,,,N
2001,snoop minnis,Florida State,WR,73,171,4.57,,37.5,115,4.07,7.06,N
2012,patrick edwards,Houston,WR,69.25,172,4.58,,,,,,N
1997,tony lanier,Virginia State,WR,71.5,172,4.67,,33.5,120,4.19,7.09,N
1999,eddie conti,Delaware,WR,68,173,4.5,,36,120,4.04,6.96,N
2008,dorien bryant,Purdue,WR,69.75,174,4.55,,,119,4.24,6.88,N
1997,robert wilson,Florida A&M,WR,70.8,176,4.82,,31.5,108,4.57,7.42,N
2000,r. jay soward,Southern California,WR,69.5,177,4.41,,35,124,,,N
2018,tavares martin,Washington State,WR,73,177,4.8,,31.5,,,,N
2017,victor bolden,Oregon State,WR,68.13,178,4.54,9,32,117,4.22,6.83,N
2014,josh stewart,Oklahoma State,WR,69.88,178,4.69,11,35,116,4.33,7.1,N
2014,corey brown,Ohio State,WR,71.38,178,4.51,,33,115,4.22,7.16,N
2010,jared perry,Missouri,WR,72.75,178,4.51,11,33.5,121,4.39,6.75,N
2005,dan sheldon,Northern Illinois,WR,68.88,179,4.46,,,,,,N
2013,darius johnson,Southern Methodist (TX),WR,69,179,4.6,6,32,109,4.53,,N
1998,az-zahir hakim,San Diego State,WR,69.6,179,4.45,,36,122,4.25,7.44,N
1998,tony horne,Clemson,WR,69.8,179,4.66,,33,112,4.29,7.5,N
2005,efrem hill,Samford (AL),WR,72.5,179,4.64,,37.5,123,4.07,7.42,N
2012,kashif moore,Connecticut,WR,69,180,4.36,19,43.5,126,4.05,6.82,N
2001,shawn mills,Southern Mississippi,WR,72,180,4.54,,34.5,116,4.15,7.12,N
2000,marcus knight,Michigan,WR,72.9,180,4.74,,28.5,106,4.38,7.11,N
2011,jock sanders,West Virginia,WR,66.13,181,4.5,19,34.5,121,4.13,6.78,N
1998,pat johnson,Oregon,WR,70.1,181,4.42,,34.5,127,,,N
2015,chris jones,Alabama,WR,70.13,182,4.63,8,32.5,119,4.19,6.91,N
2010,kevin jurovich,San Jose State,WR,70.63,182,4.49,14,,,,,N
2017,kd cannon,Baylor,WR,71.13,182,4.41,13,37,119,4.2,,N
2011,dane sanzenbacher,Ohio State,WR,71.38,182,4.56,,33.5,118,3.97,6.46,N
1998,pat palmer,Northwestern State (LA),WR,73.3,182,4.58,,35,120,4.24,7.46,N
1998,damon dunn,Stanford,WR,68.9,183,4.48,,31.5,114,4,7.46,N
1997,alonzo johnson,Central State (OH),WR,71.1,183,4.67,,33,116,4.28,7.46,N
2004,tom crowder,Arkansas,WR,73,183,4.45,,38.5,132,,,N
2012,james rodgers,Oregon State,WR,66.75,184,4.61,19,37,115,4.23,,N
2007,jemalle cornelius,Florida,WR,70.75,184,4.59,,34.5,123,4.3,6.99,N
2000,quinton spotwood,Syracuse,WR,71,184,4.55,,33.5,123,,,N
2014,damian copeland,Louisville,WR,71,184,4.5,12,40,120,3.9,6.53,N
1997,mike adams,Texas,WR,71.4,184,4.59,,29.5,112,4.38,7.51,N
1998,magic benton,Miami (FL),WR,71.5,184,4.64,,30,112,4.44,7.73,N
2012,darius hanks,Alabama,WR,71.63,184,4.52,11,34,117,,,N
1997,donald sellers,New Mexico,WR,72.1,184,4.65,,35.5,112,4.53,,N
1999,daniel jones,Utah,WR,70.9,185,4.69,,37,113,4.49,7.58,N
2012,marquis maze,Alabama,WR,68.13,186,4.51,,33.5,112,,,N
2012,eric page,Toledo,WR,68.88,186,4.5,15,30,112,3.98,6.95,N
1999,damon griffin,Oregon,WR,69.1,186,4.68,,36,113,4.2,7.42,N
2005,jamaica rector,Northwest Missouri State,WR,69.75,186,4.5,17,36.5,119,4.13,6.78,N
1998,harvey middleton,Georgia Tech,WR,71.3,186,,,32.5,112,4.1,7.46,N
2007,johnnie lee higgins jr.,Texas-El Paso,WR,71.38,186,4.49,,36.5,122,4.32,6.62,N
2017,james quick,Louisville,WR,72.25,186,4.6,11,31,115,4.39,7,N
1997,buster tillman,Ohio State,WR,72.8,186,4.77,,32.5,99,4.1,7.58,N
2008,ryan grice-mullen,Hawaii,WR,70,187,4.57,17,27.5,118,4.16,6.91,N
2008,taj smith,Syracuse,WR,72.38,187,4.64,35,35,119,4.5,7.15,N
1999,quincy jackson,Alabama,WR,73,187,4.68,,31,116,4.29,7.27,N
2015,dres anderson,Utah,WR,73.13,187,4.53,13,,,,,N
2014,isaiah burse,Fresno State (CA),WR,70.38,188,4.58,16,31,114,3.94,6.74,N
1997,dimitrious stanley,Ohio State,WR,70.9,188,4.73,,29,105,4.5,7.83,N
1999,lenzie jackson,Arizona State,WR,71.9,188,4.8,,35,115,4.29,7.32,N
1997,geroy simon,Maryland,WR,72,188,4.61,,32,111,4.49,7.81,N
2009,darius passmore,Marshall (WV),WR,72.38,188,4.51,,33.5,,,,N
2011,marshall williams,Wake Forest,WR,72.75,188,4.56,9,35.5,123,4.09,6.61,N
2010,alric arnett,West Virginia,WR,73.75,188,4.52,,40,122,4.43,7.03,N
2018,steven mitchell,Southern California,WR,70,189,4.56,13,32.5,121,4.4,6.75,N
2014,austin franklin,New Mexico State,WR,70.63,189,4.56,7,36,123,4.33,7.07,N
2017,gabe marks,Washington State,WR,70.75,189,4.56,11,29.5,117,4.2,7.01,N
2014,walter powell,Murray State (KY),WR,71.38,189,4.63,10,31.5,120,4.23,6.7,N
