year,name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone,drafted
1997,mike adams,Texas,WR,71.4,184,4.59,,29.5,112.0,4.38,7.51,0.0
1997,winston alderson,Arkansas,OT,76.1,344,5.6,,24.5,92.0,5.25,8.85,0.0
1997,ink aleaga,Washington,ILB,73.0,227,4.87,,31.0,107.0,4.33,7.6,0.0
1997,eric allen,Indiana,FS,72.0,205,4.78,,34.0,116.0,4.22,7.27,0.0
1997,james allen,Oklahoma,RB,70.1,212,,11.0,31.0,,,,0.0
1997,john allred,Southern California,TE,76.4,244,5.01,15.0,32.0,112.0,4.32,7.45,1.0
1997,richard alvarado,Jackson State (MS),OLB,74.6,239,4.92,18.0,33.5,115.0,4.28,7.48,0.0
1997,jim arellanes,Frenso State (CA),QB,75.1,211,5.19,,27.0,102.0,4.67,8.03,0.0
1997,duane ashman,Virginia,DE,75.5,274,5.03,19.0,32.5,110.0,4.83,8.8,1.0
1997,raymond austin,Tennessee,SS,70.6,190,4.8,12.0,32.5,111.0,4.05,7.14,1.0
1997,darnell autry,Northwestern,RB,70.8,210,,,34.0,114.0,,,1.0
1997,brad badger,Stanford,OG,76.4,296,5.22,21.0,32.5,111.0,4.13,,1.0
1997,antonio banks,Virginia Tech,CB,70.0,203,4.66,18.0,36.0,117.0,4.41,7.85,1.0
1997,ronde barber,Virginia,CB,69.4,185,4.68,14.0,34.5,118.0,4.46,7.22,1.0
1997,tiki barber,Virginia,RB,69.4,203,4.56,15.0,35.5,120.0,4.0,7.18,1.0
1997,derrick barnes,Oregon,OLB,72.9,261,4.92,15.0,33.0,109.0,4.42,7.88,0.0
1997,james bates,Florida,ILB,73.0,230,4.92,,32.5,115.0,4.29,7.67,0.0
1997,terry battle,Arizona State,RB,70.6,197,4.71,16.0,34.5,118.0,,,1.0
1997,bert berry,Notre Dame,DE,74.6,243,4.64,27.0,37.5,123.0,4.49,7.79,0.0
1997,will blackwell,San Diego State,WR,72.0,185,4.62,,34.0,120.0,4.28,7.31,1.0
1997,michael booker,Nebraska,CB,73.3,203,,10.0,,,,,1.0
1997,ben bordelon,Louisiana State,OT,77.1,298,5.42,22.0,28.0,104.0,4.73,8.25,0.0
1997,peter boulware,Florida State,DE,76.1,254,4.76,,34.0,118.0,4.2,7.64,1.0
1997,calvin branch,Colorado State,RB,71.4,200,4.49,18.0,39.0,127.0,4.08,7.12,1.0
1997,zack bronson,McNeese State (LA),FS,72.4,190,4.66,9.0,33.5,115.0,4.35,7.63,0.0
1997,macey brooks,James Madison (VA),WR,76.6,214,4.65,,38.5,125.0,4.13,7.31,1.0
1997,cornell brown,Virginia Tech,DE,73.1,244,5.0,19.0,32.0,115.0,4.33,7.81,1.0
1997,rod brown,North Carolina State,FB,71.5,245,5.03,25.0,28.0,102.0,,,1.0
1997,lamont burns,East Carolina (NC),OG,75.6,299,5.32,30.0,28.5,109.0,4.7,,1.0
1997,kenney bynum,South Carolina State,RB,70.8,190,4.53,11.0,35.5,124.0,4.13,7.47,0.0
1997,byron capers,Florida State,CB,73.0,202,4.66,14.0,31.0,116.0,4.44,7.51,1.0
1997,william carr,Michigan,DT,72.1,302,5.41,19.0,25.5,83.0,5.14,8.42,1.0
1997,chris carter,Texas,FS,73.3,200,,16.0,,,,,1.0
1997,mike cherry,Murray State (KY),QB,75.9,222,5.11,,28.5,105.0,4.38,7.8,1.0
1997,pete chryplewicz,Notre Dame,TE,76.6,253,4.88,,30.5,111.0,4.32,7.48,1.0
1997,greg clark,Stanford,TE,76.4,262,4.99,30.0,31.0,115.0,4.12,7.51,1.0
1997,chuck clements,Houston,QB,74.6,211,4.98,,31.5,108.0,4.36,7.69,1.0
