name,college,position,height_in,weight_lbs,40yards,benchpress,vert_leap_in,broad_jump_in,shuttle,3cone
"Austin, Blessuan",Rutgers,CB,73,198,,15,,,,
"Baity, Derrick",Kentucky,CB,74,197,,10,38.5,127,4.31,7.06
"Baker, Deandre",Georgia,CB,71,193,4.52,14,,118,,
"Ballentine, Corey",Washburn,CB,72,204,4.47,15,39.5,135,4.14,6.82
"Boyd, Kris",Texas,CB,71,201,4.45,19,36.5,127,4.08,6.94
"Brown, Jordan",South Dakota State,CB,72,201,4.51,13,39.5,128,,
"Brown, Blace",Troy,CB,72,194,4.75,14,,126,4.22,7.33
"Bunting, Sean",C. Michigan,CB,72,195,4.42,14,41.5,126,,
"Cheevers, Hamp",Boston College,CB,69,169,4.52,8,39,122,4.25,6.96
"Crawford, Xavier",C. Michigan,CB,71,187,4.48,11,37.5,,,
"Davis, Davante",Texas,CB,74,202,4.57,14,37,125,4.15,6.76
"Dean, Jamel",Auburn,CB,73,206,4.3,16,41,130,4.19,7.02
"Fenton, Rashad",South Carolina,CB,71,193,4.52,12,34,117,4.25,
"Fields, Mark",Clemson,CB,70,192,4.37,18,,,,
"Hartage, Montre",Northwestern,CB,71,190,4.68,9,34.5,123,4.08,6.95
"Holder, Alijah",Stanford,CB,73,191,4.6,9,36,121,4.15,6.7
"Johnson, Lonnie",Kentucky,CB,74,213,4.52,15,38,129,4.1,7.01
"Johnson, Isaiah",Houston,CB,74,208,4.4,,36.5,133,4.06,6.81
"Layne, Justin",Michigan St.,CB,74,192,4.5,,37.5,134,4.09,6.9
"Long, David",Michigan,CB,71,196,4.45,15,39.5,120,3.97,6.45
"Love, Julian",Notre Dame,CB,71,195,4.54,14,36,121,4.1,6.72
"Marshall, Iman",USC,CB,73,207,4.53,16,,,,
"Miller, Jordan",Washington,CB,73,186,4.49,6,37,125,,
"Mullen, Trayvon",Clemson,CB,73,199,4.46,,34.5,123,,
"Murphy, Byron",Washington,CB,71,190,4.55,14,36.5,120,,
"Oruwariye, Amani",Penn St.,CB,74,205,4.47,17,36.5,120,4.16,6.82
"Peters, Jamal",Miss. State,CB,74,218,4.63,,,,,
"Pulley, Ryan",Arkansas,CB,71,209,4.61,11,31,111,,
"Smith, Saivion",Alabama,CB,73,199,,11,33,121,4.37,7.09
"Thomas, Derrek",Baylor,CB,75,189,4.44,8,39.5,131,,
"Webster, Ken",Ole Miss,CB,71,203,4.43,18,43,133,4.14,6.85
"Williams, Greedy",LSU,CB,74,185,4.37,,,,,
"Williams, Joejuan",Vanderbilt,CB,76,211,4.64,17,,,,
"Ya-Sin, Rock",Temple,CB,72,192,4.51,18,39.5,120,4.31,7.31
"Jackson, Mike",,DB,73,,4.45,13,40.5,130,4.12,7.12
"Allen, Josh",Kentucky,DL,77,262,4.63,24,32,112,4.36,7.34
"Banogu, Ben",TCU,DL,75,250,4.62,23,40,134,4.27,7.02
"Bosa, Nick",Ohio St.,DL,76,266,4.79,29,33.5,116,4.14,7.1
"Brailford, Jordan",Oklahoma St.,DL,75,252,4.65,22,37.5,126,,
"Burns, Brian",Florida St.,DL,77,249,4.53,,36,129,,7.01
"Carney, Malik",North Carolina,DL,74,251,4.73,25,33,113,,7.4
"Crosby, Maxx",E. Michigan,DL,77,255,4.66,,36,122,4.13,6.89
"Davis, Jamal",Akron,DL,75,243,4.6,19,39,122,4.44,7
"Ferrell, Clelin",Clemson,DL,76,264,,25,,,4.4,7.26
"Granderson, Carl",Wyoming,DL,77,254,4.79,,35,119,4.41,7.44
"Green, Gerri",Miss. State,DL,76,252,4.63,24,35,114,4.42,7.27
"Gustin, Porter",USC,DL,76,255,4.69,31,35.5,119,,
"Hollins, Justin",Oregon,DL,77,248,4.5,25,36.5,119,4.4,7.06
"Jelks, Jalen",Oregon,DL,77,256,4.92,19,32.5,113,4.59,7.22
"Johnson, Darryl",,DL,78,,,20,,,,
"Miller, Shareef",Penn St.,DL,76,254,4.69,16,29.5,,4.45,
"Miller, Christian",Alabama,DL,75,247,,,38.5,118,,
"Polite, Jachai",Florida,DL,75,258,4.84,,32,,,
"Ray, Wyatt",Boston College,DL,75,257,4.83,25,34,118,4.31,7.34
"Smith, Sutton",N. Illinois,DL,72,233,4.69,25,31.5,118,4.32,6.75
"Sweat, Montez",Miss. State,DL,78,260,4.41,21,36,125,4.29,7
"Winovich, Chase",Michigan,DL,75,256,4.59,18,30.5,116,4.11,6.94
