year,name,drafted
1997,Orlando Pace,1
1997,Darrell Russell,1
1997,Shawn Springs,1
1997,Peter Boulware,1
1997,Bryant Westbrook,1
1997,Walter Jones,1
1997,Ike Hilliard,1
1997,James Farrior,1
1997,Tom Knight,1
1997,Chris Naeole,1
1997,Michael Booker,1
1997,Warrick Dunn,1
1997,Tony Gonzalez,1
1997,Reinard Wilson,1
1997,Yatil Green,1
1997,Reidel Anthony,1
1997,Kenard Lang,1
1997,Kenny Holmes,1
1997,Tarik Glenn,1
1997,Dwayne Rudd,1
1997,Renaldo Wynn,1
1997,David LaFleur,1
1997,Antowain Smith,1
1997,Chad Scott,1
1997,Jon Harris,1
1997,Jim Druckenmiller,1
1997,Rae Carruth,1
1997,Trevor Pryce,1
1997,Chris Canty,1
1997,Ross Verba,1
1997,Rick Terry,1
1997,Nathan Davis,1
1997,Rob Kelly,1
1997,Jamie Sharper,1
1997,Juan Roque,1
1997,Tiki Barber,1
1997,Jerry Wunsch,1
1997,John Allred,1
1997,Jared Tomich,1
1997,Dexter McCleon,1
1997,Byron Hanspard,1
1997,Jake Plummer,1
1997,Corey Dillon,1
1997,Sam Madison,1
1997,Freddie Jones,1
1997,Joey Kent,1
1997,Kevin Lockett,1
1997,Adam Meadows,1
1997,Torrian Gray,1
1997,Mike Logan,1
1997,Greg Jones,1
1997,Marcellus Wiley,1
1997,Will Blackwell,1
1997,Kevin Abrams,1
1997,Marc Edwards,1
1997,Mike Minter,1
1997,James Darling,1
1997,Kim Herring,1
1997,Brandon Mitchell,1
1997,Darren Sharper,1
1997,Sedrick Shaw,1
1997,Troy Davis,1
1997,Frank Middleton,1
1997,Jay Graham,1
1997,Dexter Coakley,1
1997,Ronde Barber,1
1997,Dan Neil,1
1997,Ryan Phillips,1
1997,Bob Sapp,1
1997,O.J. Santiago,1
1997,Duce Staley,1
1997,Adam Treu,1
1997,Jason Taylor,1
1997,Mike Hamilton,1
1997,Denard Walker,1
1997,Rod Payne,1
1997,Greg Clark,1
1997,Stalin Colinet,1
1997,James Hamilton,1
1997,Derek Smith,1
1997,Scott Sanderson,1
1997,Paul Wiggins,1
1997,Steve Scifres,1
1997,Ty Howard,1
1997,Tim Kohn,1
1997,Bertrand Berry,1
1997,Kinnon Tatum,1
1997,Dedric Ward,1
1997,Chris Carter,1
1997,Brett Conway,1
1997,Mike Vrabel,1
1997,Derrick Rodgers,1
1997,Ronnie Ward,1
1997,Kenny Wheaton,1
1997,Brad Maynard,1
1997,Brent Smith,1
1997,Damon Denson,1
1997,Derrick Mason,1
1997,Danny Wuerffel,1
1997,Henri Crockett,1
1997,Antonio Anderson,1
1997,Terry Day,1
1997,Pete Monty,1
1997,Leon Johnson,1
1997,Darnell Autry,1
1997,Chris Dishman,1
1997,Pratt Lyons,1
1997,Marcus Robinson,1
1997,Raleigh Roundtree,1
1997,Pat Barnes,1
1997,Tremain Mack,1
1997,Ryan Tucker,1
1997,Antonio Banks,1
1997,Seth Payne,1
1997,Albert Connell,1
1997,Keith Poole,1
1997,Delmonico Montgomery,1
1997,Tyrus McCloud,1
1997,Damien Robinson,1
1997,Jamie Nails,1
1997,Jerome Daniels,1
1997,Tarek Saleh,1
1997,Chad Levitt,1
1997,Cory Gilliard,1
1997,Ed Ellis,1
1997,Jermaine Smith,1
1997,Macey Brooks,1
1997,Alshermond Singleton,1
1997,Nicky Sualua,1
1997,Matt Russell,1
1997,Lamont Burns,1
1997,Jamel Williams,1
1997,Marcus Wimberly,1
1997,Jeff Mitchell,1
1997,Pete Chryplewicz,1
1997,Sam Garnes,1
1997,Patrick Hape,1
1997,Kenny Bynum,1
1997,Chad Carpenter,1
1997,Keith Thibodeaux,1
1997,Van Hiles,1
1997,Eric Stokes,1
1997,George McCullough,1
1997,Andre Purvis,1
1997,Raymond Austin,1
1997,Paul Bradford,1
1997,Damon Jones,1
1997,Twan Russell,1
1997,Barron Tanner,1
1997,Nathaniel Jacquet,1
1997,Tony Williams,1
1997,Ndukwe Kalu,1
1997,Sean Woodson,1
1997,George Jones,1
1997,Luther Broughton,1
1997,Carl Powell,1
1997,Nick Lopez,1
1997,Taje Allen,1
1997,Vernon Crawford,1
1997,Anthony Hicks,1
1997,Duane Ashman,1
1997,Brad Badger,1
1997,June Henley,1
1997,Tim Scharf,1
1997,Nicky Savoie,1
1997,John Fiala,1
1997,Steve Lee,1
1997,Tony Ramirez,1
1997,Al Harris,1
1997,Brian Manning,1
1997,Mike Cherry,1
1997,Calvin Branch,1
1997,Mike Crawford,1
1997,Itula Mili,1
1997,Rod Brown,1
1997,Canute Curtis,1
1997,Ed Perry,1
1997,Daniel Palmer,1
1997,Muadianvita Kazadi,1
1997,Calvin Collins,1
1997,Dennis Stallings,1
1997,Scott Von der Ahe,1
1997,Robert Tate,1
1997,Daimon Shelton,1
1997,Marcus Spriggs,1
1997,Daryl Porter,1
1997,Lee Vaughn,1
1997,Tony McCombs,1
1997,Matt Finkes,1
1997,Antwuan Wyatt,1
1997,Chuck Clements,1
1997,Tony Gaiter,1
1997,Grady Jackson,1
1997,Cornell Brown,1
1997,Isaac Byrd,1
1997,Shawn Swayda,1
1997,Nigea Carter,1
1997,Edward Jasper,1
1997,Rod Manuel,1
1997,Richard Hogans,1
1997,Ricky Parker,1
1997,Steve Rosga,1
1997,Hudhaifa Ismaeli,1
1997,Tony Graziani,1
1997,Chris Ward,1
1997,Terry Battle,1
1997,Koy Detmer,1
1997,Matt Keneley,1
1997,Anthony DeGrate,1
1997,Mike Miano,1
1997,Carlos Jones,1
1997,Mark Smith,1
1997,Chris Miller,1
1997,Nathan Parks,1
1997,Cedric White,1
1997,Armon Williams,1
1997,William Carr,1
1997,Torin James,1
1997,Clarence Thompson,1
1997,Artie Ulmer,1
1997,Jon Hesse,1
1997,Chris Bayne,1
1997,Michael Adams,1
1997,Omar Stoutmire,1
1997,Byron Capers,1
1997,Pat Fitzgerald,1
1997,Deauntae Brown,1
1997,Kris Mangum,1
1997,Jason Ferguson,1
1997,Scott Rehberg,1
1997,Jerald Sowell,1
1997,Marcus Harris,1
1997,Marvin Thomas,1
1997,Wally Richardson,1
1997,Matthew Hatchette,1
1997,Ralph Staten,1
1997,Tony Corbin,1
1997,Leland Taylor,1
1997,Richard Jordan,1
1997,Ronnie McAda,1
1998,Peyton Manning,1
1998,Ryan Leaf,1
1998,Andre Wadsworth,1
1998,Charles Woodson,1
1998,Curtis Enis,1
1998,Grant Wistrom,1
1998,Kyle Turley,1
1998,Greg Ellis,1
1998,Fred Taylor,1
1998,Duane Starks,1
1998,Tra Thomas,1
1998,Keith Brooking,1
1998,Takeo Spikes,1
1998,Jason Peter,1
1998,Anthony Simmons,1
1998,Kevin Dyson,1
1998,Brian Simmons,1
1998,Robert Edwards,1
1998,Vonnie Holliday,1
1998,Terry Fair,1
1998,Randy Moss,1
1998,Tebucky Jones,1
1998,Mo Collins,1
1998,Shaun Williams,1
1998,Donovin Darius,1
1998,Alan Faneca,1
1998,Victor Riley,1
1998,R.W. McQuarters,1
1998,John Avery,1
1998,Marcus Nash,1
1998,Leon Bender,1
1998,Jerome Pathon,1
1998,Corey Chavous,1
1998,Jacquez Green,1
1998,Tony Parrish,1
1998,Anthony Clement,1
1998,Robert Holcombe,1
1998,Flozell Adams,1
1998,Sam Cowart,1
1998,Cameron Cleeland,1
1998,Jeremy Staat,1
1998,Patrick Johnson,1
1998,Artrell Hawkins,1
1998,Patrick Surtain,1
1998,Brian Kelly,1
1998,Samari Rolle,1
1998,Todd Weiner,1
1998,Stephen Alexander,1
1998,Kenny Mixon,1
1998,Germane Crowell,1
1998,Kailee Wong,1
1998,Tony Simmons,1
1998,Bob Hallen,1
1998,Rod Rutledge,1
1998,Joe Jurevicius,1
1998,Dorian Boose,1
1998,Cordell Taylor,1
1998,Jeremy Newberry,1
1998,Mikhael Ricks,1
1998,Charlie Batch,1
1998,Eric Brown,1
1998,Chuck Wiley,1
1998,Jon Ritchie,1
1998,Olin Kreutz,1
1998,Leonard Little,1
1998,Chris Conrad,1
1998,Scott Frost,1
1998,Robert Hicks,1
1998,Skip Hicks,1
1998,Brian Alford,1
1998,E.G. Green,1
1998,Jeremiah Trotter,1
1998,Mitch Marrow,1
1998,Jammi German,1
1998,Steve Foley,1
1998,Ahman Green,1
1998,Dainon Sidney,1
1998,Mike Goff,1
1998,Brad Jackson,1
1998,Ramos McDonald,1
1998,Chris Floyd,1
1998,Larry Shannon,1
1998,Greg Spires,1
1998,Jamie Duncan,1
1998,Allen Rossum,1
1998,Jonathan Quinn,1
1998,Kevin Williams,1
1998,Rashaan Shehee,1
1998,Chris Ruhman,1
1998,Jonathan Brown,1
1998,Brian Griese,1
1998,Hines Ward,1
