player,college,position,height,weight
"Bosa, Nick",Ohio St.,EDGE,6-4,266
"Williams, Quinnen",Alabama,DL,6-3,303
"Allen, Josh",Kentucky,EDGE,6-5,262
"Oliver, Ed",Houston,DL,6-2,287
"White, Devin",LSU,LB,6-0,237
"Sweat, Montez",Miss. State,EDGE,6-6,260
"Taylor, Jawaan",Florida,OL,6-5,312
"Williams, Jonah",Alabama,OL,6-4,302
"Gary, Rashan",Michigan,DL,6-4,277
"Wilkins, Christian",Clemson,DL,6-3,315
"Ferrell, Clelin",Clemson,EDGE,6-4,264
"Williams, Greedy",LSU,CB,6-2,185
"Haskins, Dwayne",Ohio St.,QB,6-3,231
"Murray, Kyler",Oklahoma,QB,5-10,207
"Metcalf, D.K.",Ole Miss,WR,6-3,228
"Murphy, Byron",Washington,CB,5-11,190
"Hockenson, T.J.",Iowa,TE,6-5,251
"Burns, Brian",Florida St.,EDGE,6-5,249
"Dillard, Andre",Washington St.,OL,6-5,315
"Bush, Devin",Michigan,LB,5-11,234
"Baker, Deandre",Georgia,CB,5-11,193
"Jacobs, Josh",Alabama,RB,5-10,220
"Lawrence, Dexter",Clemson,DL,6-4,342
"Ford, Cody",Oklahoma,OL,6-4,329
"Simmons, Jeffery",Miss. State,DL,6-4,301
"Lock, Drew",Missouri,QB,6-4,228
"Brown, Marquise",Oklahoma,WR,5-9,166
"Fant, Noah",Iowa,TE,6-4,249
"Polite, Jachai",Florida,EDGE,6-3,258
"Adderley, Nasir",Delaware,S,6-0,206
"Little, Greg",Ole Miss,OL,6-5,310
"Tillery, Jerry",Notre Dame,DL,6-6,295
"Smith, Irv",Alabama,TE,6-2,242
"Brown, A.J.",Ole Miss,WR,6-0,226
"Jones, Dre'Mont",Ohio St.,DL,6-3,281
"Rapp, Taylor",Washington,S,6-0,208
"Thompson, Deionte",Alabama,S,6-1,195
"Bradbury, Garrett",NC State,OL,6-3,306
"Abram, Johnathan",Miss. State,S,5-11,215
"Allen, Zach",Boston College,DL,6-4,281
"Lindstrom, Chris",Boston College,OL,6-4,308
"Harry, N'Keal",Arizona St.,WR,6-2,228
