player,benchpress,vert_jump_in,broad_jump_in,3cone,shuttle,40yards,height_in,weight_lbs
"Abram, Johnathan",,,116,,,4.45,71,215
"Adams, Paul",16,27,103,7.68,4.74,5.18,78,317
"Al-Shaair, Azeez",16,,,,,,73,234
"Alaka, Otaro",20,36,131,,,4.82,75,239
"Allen, Zach",23,31.5,116,6.88,4.04,5,76,281
"Allen, Josh",24,32,112,7.34,4.36,4.63,77,262
"Allen, Dakota",28,,118,7.15,4.23,4.77,73,232
"Allen-Williams, Bryson",14,,,7.4,,4.88,73,236
"Allison, Jeff",12,31,115,7.2,4.45,4.82,71,228
"Amadi, Ugo",18,32.5,115,7.21,4.19,4.51,69,199
"Anderson, Rodney",25,,,,,,72,224
"Armstead, Ryquell",22,30,114,7.02,4.29,4.45,71,220
"Austin, Blessuan",15,,,,,,73,198
"Bailey, Jake",24,28,103,,,4.72,73,200
"Bailey, Zack",,33,117,,,,77,299
"Baity, Derrick",10,38.5,127,7.06,4.31,,74,197
"Baker, Deandre",14,,118,,,4.52,71,193
"Ballentine, Corey",15,39.5,135,6.82,4.14,4.47,72,204
"Banogu, Ben",23,40,134,7.02,4.27,4.62,75,250
"Barnes, Alex",34,38.5,126,6.95,4.1,4.59,72,226
"Barton, Jackson",30,32.5,116,6.9,4.03,5.18,79,310
"Barton, Cody",25,27,109,7.85,4.66,4.64,74,237
"Bates, Ryan",28,27,102,7.45,4.53,5.09,76,306
"Battle, John",,29.5,120,7.09,4.33,4.67,72,201
"Beckner, Terry",28,24.5,98,7.97,4.82,5.19,76,296
"Bell, Mike",10,30,118,7.1,4.46,4.83,75,210
"Benzschawel, Beau",20,,,,,5.24,78,309
"Blair, Marquise",,35,125,,,4.48,73,195
"Blanton, Kendall",22,31,113,7.37,4.42,4.95,78,262
"Bosa, Nick",29,33.5,116,7.1,4.14,4.79,76,266
"Boyd, Kris",19,36.5,127,6.94,4.08,4.45,71,201
"Boykin, Miles",12,43.5,140,6.77,4.07,4.42,76,220
"Bradbury, Garrett",34,31,104,7.41,4.53,4.92,75,306
"Brady, Tyre",12,32,117,,4.25,,75,211
