player,bench,vert,broad,cone,twenty,forty
"Abram, Johnathan",,,116.0,,,4.45
"Adams, Paul",16.0,27.0,103.0,7.68,4.74,5.18
"Al-Shaair, Azeez",16.0,,,,,
"Alaka, Otaro",20.0,36.0,131.0,,,4.82
"Allen, Zach",23.0,31.5,116.0,6.88,4.04,5.0
"Allen, Josh",24.0,32.0,112.0,7.34,4.36,4.63
"Allen, Dakota",28.0,,118.0,7.15,4.23,4.77
"Allen-Williams, Bryson",14.0,,,7.4,,4.88
"Allison, Jeff",12.0,31.0,115.0,7.2,4.45,4.82
"Amadi, Ugo",18.0,32.5,115.0,7.21,4.19,4.51
"Anderson, Rodney",25.0,,,,,
"Armstead, Ryquell",22.0,30.0,114.0,7.02,4.29,4.45
"Austin, Blessuan",15.0,,,,,
"Bailey, Zack",24.0,28.0,103.0,,,
"Bailey, Jake",,33.0,117.0,,,4.72
"Baity, Derrick",10.0,38.5,127.0,7.06,4.31,
"Baker, Deandre",14.0,,118.0,,,4.52
"Ballentine, Corey",15.0,39.5,135.0,6.82,4.14,4.47
"Banogu, Ben",23.0,40.0,134.0,7.02,4.27,4.62
"Barnes, Alex",34.0,38.5,126.0,6.95,4.1,4.59
"Barton, Jackson",30.0,32.5,116.0,6.9,4.03,5.18
"Barton, Cody",25.0,27.0,109.0,7.85,4.66,4.64
"Bates, Ryan",28.0,27.0,102.0,7.45,4.53,5.09
"Battle, John",,29.5,120.0,7.09,4.33,4.67
"Beckner, Terry",28.0,24.5,98.0,7.97,4.82,5.19
"Bell, Mike",10.0,30.0,118.0,7.1,4.46,4.83
"Benzschawel, Beau",20.0,,,,,5.24
"Blair, Marquise",,35.0,125.0,,,4.48
"Blanton, Kendall",22.0,31.0,113.0,7.37,4.42,4.95
"Bosa, Nick",29.0,33.5,116.0,7.1,4.14,4.79
"Boyd, Kris",19.0,36.5,127.0,6.94,4.08,4.45
"Boykin, Miles",12.0,43.5,140.0,6.77,4.07,4.42
"Bradbury, Garrett",34.0,31.0,104.0,7.41,4.53,4.92
"Brady, Tyre",12.0,32.0,117.0,,4.25,
"Brailford, Jordan",22.0,37.5,126.0,,,4.65
"Brossette, Nick",15.0,35.5,118.0,7.38,4.44,4.72
"Brown, Keenen",17.0,33.0,117.0,7.27,4.51,4.75
"Brown, Jordan",13.0,39.5,128.0,,,4.51
"Brown, Blace",14.0,,126.0,7.33,4.22,4.75
"Brown, A.J.",19.0,36.5,120.0,,,4.49
"Browning, Jake",,29.0,112.0,7.19,4.44,4.74
"Buggs, Isaiah",20.0,24.5,96.0,8.01,4.83,5.15
"Bunting, Sean",14.0,41.5,126.0,,,4.42
"Burns, Brian",,36.0,129.0,7.01,,4.53
"Burr-Kirven, Ben",21.0,34.5,121.0,6.85,4.09,4.56
"Bush, Devin",21.0,40.5,124.0,6.93,4.23,4.43
"Butler, Emmanuel",11.0,36.0,115.0,,4.22,
"Butler, Hakeem",18.0,36.0,128.0,,,4.48
"Cajuste, Yodny",32.0,,,,,
"Calhoun, Shaq",26.0,28.5,105.0,7.46,4.62,5.07
"Campbell, Parris",11.0,40.0,135.0,,4.03,4.31
"Carney, Malik",25.0,33.0,113.0,7.4,,4.73
"Cashman, Blake",18.0,37.5,124.0,6.95,4.12,4.5
"Cheevers, Hamp",8.0,39.0,122.0,6.96,4.25,4.52
"Christmas, Demarcus",22.0,25.5,101.0,8.13,5.07,5.08
"Collier, L.J.",25.0,30.0,118.0,7.71,4.78,4.91
"Cominsky, John",22.0,33.5,116.0,7.03,4.38,4.69
"Connelly, Ryan",,34.5,118.0,7.09,4.31,4.66
"Cowart, Byron",26.0,30.0,111.0,,,5.16
"Crawford, Jonathan",16.0,31.5,115.0,,,
"Crawford, Xavier",11.0,37.5,,,,4.48
"Crosby, Maxx",,36.0,122.0,6.89,4.13,4.66
"Custis, Jamal",,34.5,124.0,,,4.5
"Daley, Dennis",20.0,26.5,103.0,7.95,4.92,5.23
"Davis, Deshaun",25.0,31.0,111.0,,4.38,
"Davis, Felton",21.0,,,,,
"Davis, Ryan",12.0,35.0,124.0,7.09,4.23,
"Davis, Davante",14.0,37.0,125.0,6.76,4.15,4.57
"Davis, Jamal",19.0,39.0,122.0,7.0,4.44,4.6
"Davis, Nate",23.0,26.0,107.0,7.94,4.83,5.23
"Dean, Jamel",16.0,41.0,130.0,7.02,4.19,4.3
"Deiter, Michael",21.0,28.0,105.0,7.88,4.81,5.23
"Denis, Lukas",16.0,33.5,116.0,6.89,4.09,4.64
"Dillard, Andre",24.0,29.0,118.0,7.44,4.4,4.96
"Dixon, D'Cota",20.0,33.5,119.0,,,4.81
"Dixon, Johnnie",16.0,37.5,120.0,,4.43,4.41
"Dodson, Tyrel",24.0,,118.0,,,4.6
"Doss, Keelan",8.0,,,,,
"Dulin, Ashton",13.0,38.0,121.0,7.0,4.22,4.43
"Durante, Jovon",,31.5,120.0,7.0,4.31,4.55
"Edoga, Chuma",21.0,,,,,5.19
"Edwards, T.J.",16.0,,,,,
"Edwards, David",,25.5,99.0,7.69,4.77,5.28
"Egbule, Emeke",20.0,33.0,119.0,7.38,4.38,4.65
"Evans, Bobby",22.0,,,,,5.2
"Fant, Noah",20.0,39.5,127.0,6.81,4.22,4.5
